Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:56 PM),Patrick Thorman (Sun 12:55 PM),Jeff Ratcliffe (Sun 12:51 PM),Sean Koerner (Sun 12:36 PM)
64,Emanuel Wilson,SEA,RB,4,61,69,62,65
65,Kimani Vidal,LAC,RB,4,66,62,70,69
66,Najee Harris,NYG,RB,4,87,66,56,58
67,Jaylen Wright,MIA,RB,4,67,75,67,74
68,Seth McGowan,IND,RB,4,68,68,73,77
69,Demond Claiborne,MIN,RB,3,65,74,-100,54
70,Will Shipley,PHI,RB,4,84,64,71,70
71,Kyle Juszczyk,SF,RB,4,85,71,64,68
72,Hunter Luepke,DAL,RB,4,86,72,66,71
73,Sean Tucker,TB,RB,3,70,73,-101,61
74,Ollie Gordon,MIA,RB,4,71,77,79,78
75,Isaiah Davis,NYJ,RB,4,73,78,77,84
76,Kaleb Johnson,GB,RB,4,79,76,76,80
77,Tyler Badie,DEN,RB,3,76,67,-103,72
78,Frank Gore,BUF,RB,3,72,70,-102,75
79,LeQuint Allen,JAC,RB,4,75,82,80,86
80,AJ Dillon,CAR,RB,4,77,97,69,73
81,Brashard Smith,KC,RB,4,78,85,78,81
82,Rasheen Ali,BAL,RB,4,80,79,81,87
83,Jacob Saylors,DET,RB,4,74,84,84,88
84,Tyrone Tracy,NYG,RB,3,60,98,-99,76
85,Jaleel McLaughlin,CLE,RB,4,105,80,72,79
86,Corey Kiner,NE,RB,4,88,95,74,82
87,Dylan Laube,LV,RB,4,104,81,75,83
88,Tahj Brooks,CIN,RB,4,81,92,86,92
89,Ameer Abdullah,JAC,RB,4,82,88,89,97
90,Alec Ingold,LAC,RB,4,93,91,82,89
91,Patrick Ricard,NYG,RB,4,94,90,85,91
92,Roschon Johnson,CHI,RB,3,83,87,96,-104
93,CJ Donaldson,NO,RB,3,95,83,-106,85
94,Bam Knight,ARI,RB,4,89,89,95,103
95,Jordan James,SF,RB,4,103,86,92,93
96,Nicholas Singleton,TEN,RB,3,90,93,-104,94
97,Max Bredeson,MIN,RB,3,99,-104,83,90
98,Julius Chestnut,TEN,RB,4,92,99,93,99
99,RJ Harvey,DEN,RB,1,-110,-110,38,-111
100,British Brooks,HOU,RB,3,98,-103,87,95
101,Josh Williams,TB,RB,2,97,-102,88,-107
102,Tyler Goodson,DAL,RB,2,91,100,-105,-105
103,Ronnie Rivers,LAR,RB,2,96,-101,97,-106
104,Michael Burton,CLE,RB,3,101,-105,94,102
105,Adam Prentice,DEN,RB,2,100,94,-107,-108
106,Reggie Gilliam,NE,RB,3,106,-107,90,101
107,Eli Heidenreich,PIT,RB,3,108,-109,91,98
108,Andrew Beck,NYJ,RB,2,107,-108,-109,96
109,DJ Giddens,IND,RB,1,-109,96,-110,-110
110,Lan Larison,NE,RB,1,102,-106,-108,-109
111,Travis Homer,PIT,RB,1,-111,-111,-111,100
