Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:56 PM),Patrick Thorman (Sun 12:55 PM),Jeff Ratcliffe (Sun 12:51 PM),Sean Koerner (Sun 12:53 PM)
64,Dalton Kincaid,BUF,TE,4,63,63,63,62
65,Mark Andrews,BAL,TE,4,66,67,70,67
66,Tyler Warren,IND,TE,4,69,68,64,72
67,Sam LaPorta,DET,TE,4,67,71,69,69
68,Dallas Goedert,PHI,TE,4,71,69,67,71
69,Chris Godwin,TB,WR,4,79,64,68,78
70,Isaiah Likely,NYG,TE,4,72,89,73,68
71,Rico Dowdle,PIT,RB,4,76,75,74,75
72,Travis Kelce,KC,TE,4,73,74,72,74
73,Tucker Kraft,GB,TE,4,83,79,71,73
74,Rome Odunze,CHI,WR,4,68,86,59,100
75,Courtland Sutton,DEN,WR,4,81,66,76,91
76,Michael Mayer,LV,TE,4,75,73,81,88
77,Khalil Shakir,BUF,WR,4,78,87,84,66
78,Blake Corum,LAR,RB,4,77,77,75,93
79,Kyle Monangai,CHI,RB,4,82,82,82,84
80,George Kittle,SF,TE,4,88,72,83,89
81,Jakobi Meyers,JAC,WR,4,84,85,79,83
82,Josh Downs,IND,WR,4,91,83,80,76
83,Xavier Worthy,KC,WR,4,80,76,96,90
84,Jayden Reed,GB,WR,4,89,81,86,81
85,Dalton Schultz,HOU,TE,4,85,88,87,79
86,Michael Wilson,ARI,WR,4,86,90,77,85
87,Tony Pollard,TEN,RB,4,90,84,88,77
88,Kenny Gainwell,TB,RB,4,99,80,85,80
89,Alec Pierce,IND,WR,4,70,96,101,97
90,Romeo Doubs,NE,WR,4,92,91,99,87
91,KC Concepcion,CLE,WR,4,94,97,90,86
92,Jordan Addison,MIN,WR,4,103,78,89,103
93,Juwan Johnson,NO,TE,4,95,92,92,94
94,Hunter Henry,NE,TE,4,96,94,94,95
95,Harold Fannin,CLE,TE,4,97,95,95,92
96,Kaelon Black,SF,RB,4,87,98,93,109
97,TreVeyon Henderson,NE,RB,4,93,93,109,98
98,Ladd McConkey,LAC,WR,3,58,52,-276,59
99,Carnell Tate,TEN,WR,4,98,105,104,96
100,Devaughn Vele,NO,WR,4,101,101,106,101
101,Marvin Harrison,ARI,WR,4,104,106,91,102
102,Tre Tucker,LV,WR,4,108,100,100,114
103,Brian Thomas,JAC,WR,4,112,102,103,104
104,Brenton Strange,JAC,TE,4,100,122,98,99
105,Wan'Dale Robinson,TEN,WR,4,105,103,107,111
106,Tyler Allgeier,ARI,RB,4,110,115,113,82
107,Caleb Douglas,MIA,WR,4,102,104,108,125
108,Malik Washington,MIA,WR,4,106,108,112,105
109,Rachaad White,WAS,RB,4,114,109,114,119
110,Keenan Allen,IND,WR,4,119,111,118,106
111,Jake Ferguson,DAL,TE,4,109,117,116,117
112,Puka Nacua,LAR,WR,3,59,-319,4,61
113,Rashod Bateman,BAL,WR,4,113,107,131,120
114,Pat Bryant,DEN,WR,4,121,113,120,112
115,Dontayvion Wicks,PHI,WR,4,111,120,111,128
116,Denzel Boston,CLE,WR,4,107,128,110,123
117,Woody Marks,HOU,RB,4,115,124,121,116
118,Mack Hollins,NE,WR,4,124,121,123,107
119,Kyle Pitts,ATL,TE,4,133,135,102,110
120,Tyjae Spears,TEN,RB,4,123,119,122,115
121,Kayshon Boutte,HOU,WR,4,120,112,139,108
122,Pat Freiermuth,PIT,TE,4,117,99,128,148
123,Tre' Harris,LAC,WR,4,125,127,105,121
124,Jonathon Brooks,CAR,RB,4,116,129,115,129
125,T.J. Hockenson,MIN,TE,4,118,126,117,126
126,Adonai Mitchell,NYJ,WR,4,126,114,119,132
127,Xavier Hutchinson,HOU,WR,4,127,123,125,130
128,DeMario Douglas,NE,WR,4,128,130,135,113
129,George Holani,SEA,RB,4,129,116,150,124
130,Jalen Nailor,LV,WR,4,134,118,130,134
131,Ryan Flournoy,DAL,WR,4,136,125,134,136
132,Rashid Shaheed,SEA,WR,4,131,133,124,141
133,Makai Lemon,PHI,WR,4,130,134,126,145
134,Cade Otton,TB,TE,4,135,138,133,146
135,Chris Brooks,GB,RB,4,132,144,143,131
136,Colby Parkinson,LAR,TE,3,-156,110,147,122
137,Roman Wilson,PIT,WR,4,143,132,158,127
138,Kendrick Bourne,ARI,WR,4,139,140,136,139
139,Jerry Jeudy,CLE,WR,4,140,137,142,137
140,Cooper Kupp,SEA,WR,4,141,139,137,140
141,Braelon Allen,NYJ,RB,4,122,151,152,147
142,Keaton Mitchell,LAC,RB,4,144,149,127,149
143,Demarcus Robinson,SF,WR,4,146,136,138,150
144,Justice Hill,BAL,RB,3,-157,131,129,144
145,Antonio Williams,WAS,WR,4,148,153,149,118
146,Mike Gesicki,CIN,TE,4,137,154,144,143
147,AJ Barner,SEA,TE,4,142,146,141,160
148,Jaylin Noel,HOU,WR,4,138,141,157,158
149,Evan Engram,DEN,TE,4,150,148,154,135
150,Chris Rodriguez,JAC,RB,4,147,147,145,151
151,Terrance Ferguson,LAR,TE,4,145,143,160,154
152,Malachi Fields,NYG,WR,3,-159,145,140,155
153,David Njoku,LAC,TE,4,153,161,156,138
154,Kalif Raymond,CHI,WR,3,-158,142,167,153
155,Kenyon Sadiq,NYJ,TE,4,149,162,151,162
156,Greg Dulcich,MIA,TE,4,154,157,146,164
157,Brian Robinson,ATL,RB,4,152,156,163,156
158,Jalen McMillan,TB,WR,3,-160,150,155,167
159,Jack Bech,LV,WR,3,-167,165,148,185
160,Emmett Johnson,KC,RB,4,151,166,161,159
161,Gunnar Helm,TEN,TE,3,-165,160,159,161
162,Darren Waller,CAR,TE,4,155,163,162,174
163,Devin Singletary,NYG,RB,3,-161,152,168,176
164,Darnell Mooney,NYG,WR,3,-173,172,173,172
165,Bryce Lance,NO,WR,3,-170,169,171,175
166,Mason Taylor,NYJ,TE,3,-166,164,165,186
167,Samaje Perine,CIN,RB,3,-169,168,164,177
168,Andrei Iosivas,CIN,WR,3,-176,175,174,191
169,Isaac TeSlaa,DET,WR,3,-183,182,181,189
170,Ted Hurst,TB,WR,3,-172,171,170,192
171,Cole Kmet,CHI,TE,3,-171,170,169,194
172,Keon Coleman,BUF,WR,3,-184,183,182,181
173,Mike Washington,LV,RB,3,-178,177,176,179
174,Tyquan Thornton,KC,WR,3,-168,167,153,133
175,Chris Bell,MIA,WR,3,-186,185,186,169
176,Jahan Dotson,ATL,WR,3,-182,181,178,183
177,Jonah Coleman,DEN,RB,3,-177,176,226,166
178,Devontez Walker,BAL,WR,3,-162,155,187,178
179,Elic Ayomanor,TEN,WR,3,-193,192,192,196
180,Raheim Sanders,CLE,RB,3,-189,188,185,188
181,Noah Fant,NO,TE,3,-185,184,172,197
182,Darnell Washington,PIT,TE,3,-175,174,199,206
183,Dawson Knox,BUF,TE,3,-198,197,193,205
184,Sione Vaki,DET,RB,3,-191,190,189,199
185,Kaytron Allen,WAS,RB,3,-180,179,211,190
186,Alvin Kamara,NO,RB,2,-164,159,-277,152
187,Xavier Legette,CAR,WR,3,-192,191,184,182
188,Joshua Palmer,BUF,WR,3,-199,198,196,193
189,Isaiah Williams,NYJ,WR,3,-194,193,190,187
190,Tank Bigsby,PHI,RB,3,-215,214,183,223
191,Troy Franklin,DEN,WR,3,-204,203,206,171
192,Oronde Gadsden,LAC,TE,3,-201,200,200,170
193,Ben Sinnott,WAS,TE,3,-212,211,166,218
194,Emari Demercado,DAL,RB,3,-196,195,191,201
195,LaJohntay Wester,BAL,WR,2,-188,187,-280,142
196,Josh Cameron,JAC,WR,3,-210,209,198,247
197,Olamide Zaccheaus,ATL,WR,3,-208,207,197,208
198,Tommy Tremble,CAR,TE,3,-195,194,195,200
199,Konata Mumpfield,LAR,WR,3,-163,158,221,165
200,Theo Johnson,NYG,TE,3,-207,206,179,217
201,Calvin Ridley,TEN,WR,3,-190,189,175,203
202,John Bates,WAS,TE,3,-187,186,180,184
203,Germie Bernard,PIT,WR,2,-179,178,-279,198
204,Josh Oliver,MIN,TE,3,-216,215,208,157
205,Travis Hunter,JAC,WR,3,-213,212,202,235
206,Ray Davis,BUF,RB,3,-202,201,222,231
207,Jonnu Smith,GB,TE,3,-206,205,207,211
208,Kyle Williams,NE,WR,3,-209,208,201,222
209,DeeJay Dallas,MIN,RB,3,-181,180,188,202
210,Emanuel Wilson,SEA,RB,3,-242,241,204,214
211,Jahdae Walker,CHI,WR,3,-247,246,228,229
212,Dyami Brown,WAS,WR,3,-205,204,194,210
213,KaVontae Turpin,DAL,WR,3,-223,222,214,234
214,Charlie Kolar,LAC,TE,3,-214,213,218,224
215,Kimani Vidal,LAC,RB,3,-200,199,239,241
216,Eli Raridon,NE,TE,3,-219,218,213,216
217,Tyler Higbee,LAR,TE,3,-227,226,235,163
218,Elijah Arroyo,SEA,TE,3,-218,217,210,227
219,Noah Gray,KC,TE,3,-217,216,209,225
220,Najee Harris,NYG,RB,3,-224,223,177,180
221,Adam Trautman,DEN,TE,3,-220,219,215,239
222,Jaylin Lane,WAS,WR,3,-235,234,224,254
223,Drew Sample,CIN,TE,3,-231,230,229,215
224,Kevin Coleman,MIA,WR,3,-222,221,212,253
225,Brenen Thompson,LAC,WR,3,-257,256,132,246
226,Brevyn Spann-Ford,DAL,TE,3,-226,225,217,228
227,Jared Wayne,HOU,WR,3,-211,210,238,236
228,Durham Smythe,BAL,TE,2,-225,224,-282,219
229,Jaylen Wright,MIA,RB,3,-265,264,225,262
230,Mitchell Evans,CAR,TE,3,-229,228,220,240
231,Tai Felton,MIN,WR,2,-197,196,-281,207
232,Dohnte Meyers,CIN,WR,3,-253,252,245,266
233,Matt Hibner,BAL,TE,3,-239,238,230,226
234,Foster Moreau,HOU,TE,2,-228,227,-283,220
235,Luke Farrell,SF,TE,3,-221,220,203,238
236,Zachariah Branch,ATL,WR,3,-230,229,219,209
237,Erick All,CIN,TE,2,-259,258,-291,237
238,Blake Whiteheart,CLE,TE,3,-241,240,233,268
239,Malik Benson,LV,WR,3,-255,254,246,204
240,Seth McGowan,IND,RB,3,-233,232,244,270
241,Demond Claiborne,MIN,RB,2,-263,262,-293,168
242,Jonathan Mingo,DAL,WR,3,-261,260,248,261
243,Bo Melton,GB,WR,2,-275,274,-300,252
244,Brock Wright,DET,TE,3,-238,237,234,242
245,Nate Boerkircher,JAC,TE,3,-243,242,236,259
246,Daniel Bellinger,TEN,TE,3,-245,244,237,250
247,Will Shipley,PHI,RB,3,-203,202,240,245
248,Kyle Juszczyk,SF,RB,3,-250,249,216,232
249,Xavier Smith,LAR,WR,2,-174,173,-278,212
250,Davis Allen,LAR,TE,3,-258,257,251,213
251,Hunter Luepke,DAL,RB,3,-252,251,223,249
252,Sean Tucker,TB,RB,2,-256,255,-290,195
253,Cade Stover,HOU,TE,3,-240,239,232,230
254,Jackson Hawes,BUF,TE,3,-244,243,243,288
255,Chris Moore,BAL,WR,2,-234,233,-285,173
256,Ollie Gordon,MIA,RB,3,-271,270,257,273
257,Isaiah Davis,NYJ,RB,3,-274,273,255,306
258,Odell Beckham,NYG,WR,3,-248,247,231,260
259,Mo Alie-Cox,IND,TE,3,-249,248,241,275
260,Jeremy Ruckert,NYJ,TE,2,-269,268,-297,271
261,Luke Schoonmaker,DAL,TE,1,-329,-329,-329,243
262,Derius Davis,LAC,WR,2,-264,263,-294,267
263,Chimere Dike,TEN,WR,3,-262,261,250,285
264,Kaleb Johnson,GB,RB,3,-266,265,254,282
265,Tyler Badie,DEN,RB,2,-232,231,-284,251
266,Cyrus Allen,KC,WR,2,-267,266,-295,269
267,Colbie Young,CIN,WR,2,-303,302,-323,272
268,Barion Brown,NO,WR,1,-345,-345,-345,312
269,Skyy Moore,GB,WR,2,-299,298,-320,307
270,Tutu Atwell,LAR,WR,2,-237,236,-287,221
271,Frank Gore,BUF,RB,2,-246,245,-288,264
272,Elijah Higgins,ARI,TE,2,-280,279,-304,289
273,Elijah Sarratt,BAL,WR,2,-268,267,-296,256
274,LeQuint Allen,JAC,RB,3,-287,286,258,313
275,Austin Hooper,ATL,TE,2,-260,259,-292,248
276,Brycen Tremayne,CAR,WR,3,-270,269,247,290
277,AJ Dillon,CAR,RB,3,-316,315,227,255
278,Brashard Smith,KC,RB,3,-304,303,256,284
279,Johnny Mundt,PHI,TE,2,-281,280,-305,278
280,Charlie Woerner,ATL,TE,3,-251,250,249,294
281,Rasheen Ali,BAL,RB,3,-277,276,259,316
282,Jacob Saylors,DET,RB,3,-302,301,262,323
283,Laquon Treadwell,IND,WR,2,-286,285,-308,233
284,Marlin Klein,HOU,TE,2,-296,295,-317,244
285,Quintin Morris,JAC,TE,2,-279,278,-303,258
286,Tyrone Tracy,NYG,RB,2,-317,316,-327,265
287,Will Kacmarek,MIA,TE,2,-295,294,-316,257
288,Jaleel McLaughlin,CLE,RB,3,-283,282,242,276
289,Jake Briningstool,KC,TE,1,-340,-340,-340,302
290,Tanner Hudson,CIN,TE,1,-276,275,-301,-381
291,Tez Johnson,TB,WR,2,-300,299,-321,274
292,Corey Kiner,NE,RB,3,-314,313,252,286
293,Dylan Laube,LV,RB,3,-285,284,253,296
294,Hunter Long,ARI,TE,2,-288,287,-309,280
295,Isaiah Bond,CLE,WR,2,-282,281,-306,325
296,Zavion Thomas,CHI,WR,1,-351,-351,-351,322
297,Sam Roush,CHI,TE,2,-289,288,-310,320
298,Cody White,LV,WR,2,-294,293,-315,298
299,Hollywood Brown,PHI,WR,1,-374,-374,-374,363
300,Tory Horton,SEA,WR,2,-236,235,-286,328
301,Treylon Burks,WAS,WR,1,-354,-354,-354,332
302,Colson Yankoff,WAS,TE,2,-278,277,-302,283
303,Nate Adkins,DEN,TE,2,-284,283,-307,279
304,Tahj Brooks,CIN,RB,3,-311,310,264,330
305,Ameer Abdullah,JAC,RB,3,-307,306,267,344
306,Alec Ingold,LAC,RB,3,-310,309,260,324
307,Patrick Ricard,NYG,RB,3,-309,308,263,327
308,Lil'Jordan Humphrey,DEN,WR,2,-254,253,-289,299
309,Roschon Johnson,CHI,RB,2,-306,305,274,-383
310,CJ Donaldson,NO,RB,2,-297,296,-318,309
311,Bam Knight,ARI,RB,3,-308,307,273,356
312,Jordan James,SF,RB,3,-305,304,270,334
313,Nicholas Singleton,TEN,RB,2,-312,311,-324,335
314,Jacob Cowing,SF,WR,1,-338,-338,-338,300
315,Eric Saubert,SEA,TE,1,-341,-341,-341,303
316,Ben Skowronek,PIT,WR,2,-273,272,-299,315
317,Chris Manhertz,NYG,TE,1,-346,-346,-346,314
318,Max Bredeson,MIN,RB,2,-322,-322,261,326
319,Julius Chestnut,TEN,RB,3,-318,317,271,350
320,RJ Harvey,DEN,RB,1,-320,-320,97,-387
321,Darius Cooper,PHI,WR,1,-377,-377,-377,366
322,British Brooks,HOU,RB,2,-323,-323,265,341
323,Josh Williams,TB,RB,1,-324,-324,266,-389
324,Tyler Goodson,DAL,RB,1,-319,318,-328,-386
325,Tyler Conklin,DET,TE,1,-343,-343,-343,305
326,Ronnie Rivers,LAR,RB,1,-328,-328,275,-390
327,Treyton Welch,NO,TE,1,-337,-337,-337,297
328,Tylan Wallace,CLE,WR,1,-359,-359,-359,340
329,Michael Burton,CLE,RB,2,-327,-327,272,354
330,KhaDarel Hodge,SF,WR,1,-352,-352,-352,329
331,Kevin Austin,NO,WR,1,-388,-388,-388,377
332,Josh Cuevas,BAL,TE,2,-298,297,-319,360
333,Jelani Woods,NYJ,TE,1,-363,-363,-363,347
334,Adam Prentice,DEN,RB,1,-313,312,-325,-384
335,Reggie Gilliam,NE,RB,2,-325,-325,268,353
336,Lewis Bond,HOU,WR,2,-292,291,-313,311
337,Eli Heidenreich,PIT,RB,2,-326,-326,269,346
338,Ian Thomas,LV,TE,1,-332,-332,-332,287
339,Connor Heyward,LV,TE,1,-272,271,-298,-380
340,Feleipe Franks,CAR,TE,1,-362,-362,-362,345
341,Andrew Beck,NYJ,RB,1,-360,-360,-360,342
342,Josh Whyle,GB,TE,2,-290,289,-311,333
343,Keleki Latu,BUF,TE,1,-348,-348,-348,318
344,Mark Redman,GB,TE,1,-365,-365,-365,349
345,CJ Daniels,LAR,WR,2,-301,300,-322,281
346,Drew Ogletree,IND,TE,1,-339,-339,-339,301
347,Chris Myarick,LV,TE,1,-344,-344,-344,308
348,Brayden Willis,SF,TE,1,-331,-331,-331,277
349,Bauer Sharp,TB,TE,1,-353,-353,-353,331
350,John Metchie,CAR,WR,2,-293,292,-314,310
351,Arian Smith,NYJ,WR,1,-334,-334,-334,292
352,Tay Martin,DET,WR,1,-369,-369,-369,357
353,Max Klare,LAR,TE,1,-336,-336,-336,295
354,Greg Dortch,BUF,WR,1,-356,-356,-356,337
355,Tom Kennedy,DET,WR,1,-370,-370,-370,358
356,Chris Blair,ATL,WR,1,-382,-382,-382,371
357,Jordan Whittington,LAR,WR,1,-321,-321,205,-388
358,Jack Endries,CIN,TE,1,-342,-342,-342,304
359,Kameron Johnson,TB,WR,1,-355,-355,-355,336
360,DJ Giddens,IND,RB,1,-315,314,-326,-385
361,Payne Durham,TB,TE,1,-347,-347,-347,317
362,Ko Kieft,TB,TE,1,-349,-349,-349,319
363,Gavin Bartholomew,MIN,TE,1,-358,-358,-358,339
364,Nick Muse,ATL,TE,1,-361,-361,-361,343
365,E.J. Jenkins,PHI,TE,1,-364,-364,-364,348
366,Efton Chism,NE,WR,1,-333,-333,-333,291
367,Travis Homer,PIT,RB,1,-367,-367,-367,352
368,Marquez Valdes-Scantling,LAC,WR,1,-291,290,-312,-382
369,Myles Price,MIN,WR,1,-330,-330,-330,263
370,Dareke Young,LV,WR,1,-383,-383,-383,372
371,Cameron Latu,NE,TE,1,-371,-371,-371,359
372,Kaden Davis,CHI,WR,1,-375,-375,-375,364
373,Jalen Brooks,ARI,WR,1,-376,-376,-376,365
374,Kaden Wetjen,PIT,WR,1,-335,-335,-335,293
375,Deion Burks,IND,WR,1,-350,-350,-350,321
376,Nikko Remigio,KC,WR,1,-357,-357,-357,338
377,J. Michael Sturdivant,GB,WR,1,-366,-366,-366,351
378,Seydou Traore,MIA,TE,1,-378,-378,-378,367
379,Jalen Royals,KC,WR,1,-368,-368,-368,355
380,Montorie Foster,SEA,WR,1,-372,-372,-372,361
381,Jordan Watkins,SF,WR,1,-373,-373,-373,362
382,Gary Jennings,LAC,WR,1,-379,-379,-379,368
383,Dillon Bell,MIN,WR,1,-380,-380,-380,369
384,David Martin-Robinson,TEN,TE,1,-384,-384,-384,373
385,Robert Tonyan,PIT,TE,1,-385,-385,-385,374
386,Carsen Ryan,CLE,TE,1,-386,-386,-386,375
387,CJ Williams,JAC,WR,1,-381,-381,-381,370
388,Ryan Miller,MIA,WR,1,-387,-387,-387,376
389,Anthony Gould,IND,WR,1,-389,-389,-389,378
390,Malachi Corley,CLE,WR,1,-390,-390,-390,379
