TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Drew Ogletree,IND,13.0,8.59,5.64,57.61,0.43,0.0,0.0,0.0,11.16,13.98,16.8,0.0,0.0,0.0,0.69
Tanner McLachlan,LAC,7.0,7.0,5.5,54.5,0.5,0.0,0.0,0.0,11.2,13.95,16.7,0.0,0.0,0.0,0.76
Tanner Conner,NYG,8.0,8.0,5.0,56.5,0.5,0.0,0.0,0.0,11.15,13.65,16.15,0.0,0.0,0.0,0.71
Joe Royer,CLE,11.0,12.89,5.87,56.65,0.33,0.0,0.0,0.0,10.58,13.52,16.45,0.0,0.0,0.0,0.26
RJ Maryland,FA,,0.0,5.1,57.8,0.34,0.0,0.0,0.0,10.37,12.92,15.47,0.0,0.0,0.0,0.0
Bauer Sharp,TB,10.0,5.67,4.95,50.25,0.45,0.0,0.0,0.0,10.2,12.68,15.15,0.0,0.0,0.0,0.77
CJ Dippre,NE,11.0,7.1,5.45,48.66,0.29,0.0,0.0,0.0,9.33,12.06,14.78,0.0,0.0,0.0,0.59
Josh Cuevas,BAL,13.0,4.06,4.66,47.01,0.39,0.0,0.0,0.0,9.37,11.7,14.03,0.0,0.0,0.0,0.84
Julian Hill,NE,11.0,2.1,4.83,45.89,0.38,0.0,0.0,0.0,9.28,11.7,14.11,0.0,0.0,0.0,0.99
Jared Wiley,KC,5.0,6.1,5.09,45.22,0.31,0.0,0.0,0.0,8.93,11.47,14.02,0.0,0.0,0.0,0.6
Jack Stoll,CLE,11.0,8.38,4.62,35.17,0.43,0.0,0.0,0.0,8.41,10.72,13.03,0.0,0.0,0.0,0.13
Eric Saubert,SEA,11.0,6.38,4.72,43.41,0.21,0.0,0.0,0.0,7.96,10.32,12.68,0.0,0.0,0.0,0.53
Blake Whiteheart,CLE,11.0,8.36,4.87,38.57,0.23,0.0,0.0,0.0,7.67,10.11,12.54,0.0,0.0,0.0,0.22
Kylen Granson,TEN,9.0,9.4,5.0,45.97,0.05,0.0,0.0,0.0,7.4,9.9,12.4,0.0,0.0,0.0,0.31
Zaire Mitchell-Paden,NO,8.0,5.1,3.77,37.0,0.33,0.0,0.0,0.0,7.56,9.45,11.34,0.0,0.0,0.0,0.48
Moliki Matavao,NO,8.0,5.7,5.21,37.51,0.0,0.0,0.0,0.0,6.36,8.96,11.57,0.0,0.0,0.0,0.44
Quintin Morris,JAC,7.0,6.57,3.3,33.4,0.1,0.0,0.0,0.0,5.59,7.24,8.89,0.0,0.0,0.0,0.25
Chris Manhertz,NYG,8.0,4.18,2.71,26.9,0.14,0.0,0.0,0.0,4.88,6.24,7.59,0.0,0.0,0.0,0.3
Jake Briningstool,KC,5.0,0.0,2.55,24.65,0.17,0.0,0.0,0.0,4.76,6.04,7.31,0.0,0.0,0.0,0.0
Carsen Ryan,CLE,11.0,0.0,2.55,23.7,0.17,0.0,0.0,0.0,4.67,5.94,7.21,0.0,0.0,0.0,0.0
Cole Turner,MIA,6.0,2.5,2.25,21.75,0.25,0.0,0.0,0.0,4.8,5.93,7.05,0.0,0.0,0.0,0.33
