RB,Team,Bye,Rush Att,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD,Fum,Fantasy Points (Half-PPR),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Michael Carter,TEN,9.0,19.67,81.19,0.22,10.25,6.7,51.87,0.06,0.05,18.24,21.59,14.89,0.01,0.0,0.08,0.38
Trevor Etienne,CAR,5.0,20.1,97.94,0.44,5.5,4.97,33.76,0.14,0.09,18.96,21.44,16.47,0.01,0.0,0.14,0.36
Eli Heidenreich,PIT,9.0,20.59,86.78,0.32,7.1,5.24,41.04,0.25,0.13,18.56,21.18,15.94,0.01,0.0,0.09,0.4
Seth McGowan,IND,13.0,22.12,96.26,0.75,4.81,4.09,27.25,0.06,0.09,19.08,21.12,17.03,0.0,0.0,0.11,0.25
Tyler Badie,DEN,10.0,4.1,27.01,0.11,13.39,9.04,68.11,0.31,0.06,16.43,20.95,11.91,0.0,0.0,0.06,0.51
Riley Nowakowski,PIT,9.0,0.0,0.0,0.0,11.3,10.3,90.0,0.3,0.1,15.75,20.9,10.6,0.0,0.0,0.0,1.27
Roschon Johnson,CHI,10.0,20.27,86.61,1.02,3.33,3.84,21.37,0.04,0.06,18.96,20.88,17.04,0.0,0.0,0.09,0.24
Jaleel McLaughlin,DEN,10.0,17.98,76.8,0.47,8.13,5.7,35.85,0.19,0.06,17.96,20.8,15.11,0.0,0.0,0.08,0.17
J'Mari Taylor,JAC,7.0,19.45,75.27,0.54,4.55,4.83,35.53,0.19,0.0,17.88,20.29,15.46,0.0,0.0,0.05,0.49
Kaleb Johnson,PIT,9.0,24.59,97.02,0.47,6.64,3.7,34.49,0.13,0.11,18.38,20.23,16.53,0.01,0.0,0.08,0.27
Jam Miller,NE,11.0,26.18,106.79,0.6,2.94,3.19,23.38,0.04,0.17,18.11,19.71,16.52,0.01,0.0,0.1,0.33
Ronnie Rivers,LAR,11.0,26.32,122.91,0.45,3.35,2.7,17.41,0.03,0.2,17.86,19.21,16.51,0.01,0.0,0.16,0.14
Tahj Brooks,CIN,6.0,27.68,101.37,0.6,2.4,2.9,17.81,0.13,0.14,17.47,18.92,16.02,0.0,0.0,0.05,0.24
Tyler Goodson,ATL,11.0,26.45,84.31,0.77,2.7,3.51,22.75,0.07,0.28,16.94,18.7,15.19,0.0,0.0,0.0,0.34
Kenny McIntosh,SEA,11.0,16.35,86.73,0.17,2.75,4.3,34.6,0.09,0.0,15.84,17.99,13.69,0.0,0.0,0.15,0.64
Dean Connors,LAR,11.0,15.1,63.3,0.5,6.1,3.5,27.4,0.3,0.0,15.62,17.37,13.87,0.0,0.0,0.06,0.14
Jarquez Hunter,LAR,11.0,15.67,81.7,0.6,2.4,2.75,21.57,0.09,0.0,15.84,17.22,14.47,0.0,0.0,0.13,0.33
Connor Heyward,LV,13.0,4.39,17.33,0.16,7.26,6.12,45.04,0.63,0.01,14.02,17.08,10.96,0.0,0.0,0.01,0.49
Frank Gore Jr.,BUF,7.0,20.18,90.27,0.91,2.17,1.32,11.38,0.0,0.02,16.24,16.91,15.58,0.0,0.0,0.11,0.09
Jaret Patterson,LAC,7.0,28.29,86.34,0.56,4.75,3.25,17.13,0.0,0.13,15.07,16.7,13.45,0.0,0.0,0.0,0.0
Michael Burton,CLE,11.0,6.62,13.81,0.57,6.26,5.1,33.23,0.58,0.01,14.13,16.68,11.58,0.0,0.0,0.0,0.27
Robert Henry Jr.,WAS,7.0,0.0,47.6,0.64,5.6,3.8,30.95,0.18,,14.68,16.58,12.78,0.0,0.0,0.0,0.28
Jaydn Ott,KC,5.0,5.95,49.27,0.49,4.6,4.17,33.73,0.16,0.0,14.29,16.37,12.2,0.0,0.0,0.13,0.44
Ameer Abdullah,JAC,7.0,10.15,41.85,0.55,5.55,4.95,34.3,0.05,0.0,13.69,16.16,11.21,0.0,0.0,0.04,0.37
Andrew Beck,NYJ,13.0,0.38,3.0,0.0,6.43,4.97,36.45,1.18,0.01,13.49,15.98,11.01,0.0,0.0,0.01,0.34
Brittain Brown,CHI,10.0,8.59,52.66,1.73,0.0,0.0,0.0,0.0,0.06,15.53,15.53,15.53,0.0,0.0,0.11,0.0
Pierre Strong Jr.,GB,11.0,22.6,86.76,0.51,2.55,2.76,13.57,0.0,0.22,14.03,15.41,12.65,0.0,0.0,0.06,0.11
Lan Larison,NE,11.0,27.41,100.12,0.89,0.0,0.0,0.0,0.0,0.21,14.93,14.93,14.93,0.0,0.0,0.05,0.0
Scott Matlock,LAC,7.0,0.0,0.0,0.0,0.0,5.44,21.11,1.05,0.04,11.05,13.77,8.33,0.0,0.0,0.0,0.0
Alec Ingold,LAC,7.0,1.73,7.39,0.06,7.57,6.11,42.81,0.14,0.05,9.18,12.23,6.12,0.0,0.0,0.01,0.4
Roman Hemby,LV,13.0,2.0,35.03,0.46,3.3,2.87,23.77,0.12,0.0,10.79,12.23,9.36,0.0,0.0,0.12,0.31
Desmond Reid,BUF,7.0,12.35,53.17,0.38,1.8,2.23,15.73,0.09,0.0,10.83,11.94,9.71,0.0,0.0,0.06,0.24
CJ Donaldson,FA,,0.0,54.4,0.51,0.0,1.7,15.3,0.0,,10.88,11.73,10.03,0.0,0.0,0.0,0.0
Damien Martinez,GB,11.0,3.25,13.6,0.45,4.8,3.7,29.9,0.15,0.0,9.8,11.65,7.95,0.0,0.0,0.01,0.32
Terion Stewart,KC,5.0,0.0,0.0,0.5,5.4,4.0,33.5,0.2,,9.55,11.55,7.55,0.0,0.0,0.0,0.36
Kalel Mullings,TEN,9.0,4.4,43.15,0.3,1.7,2.45,16.0,0.09,0.0,9.48,10.71,8.26,0.0,0.0,0.12,0.26
Adam Prentice,DEN,10.0,5.56,18.92,0.08,5.82,4.18,34.48,0.12,0.01,8.61,10.7,6.52,0.0,0.0,0.0,0.35
Nathan Carter,ATL,11.0,11.01,70.86,0.54,0.0,0.0,0.0,0.0,0.24,9.85,9.85,9.85,0.0,0.0,0.15,0.0
Terrell Jennings,NE,11.0,18.55,59.97,0.42,1.47,0.57,5.55,0.05,0.12,9.42,9.7,9.13,0.0,0.0,0.0,0.01
Jamal Haynes,CIN,6.0,10.3,46.3,0.22,1.9,1.7,14.95,0.0,0.0,8.29,9.14,7.45,0.0,0.0,0.06,0.21
Jacob Saylors,DET,6.0,7.91,43.21,0.45,0.4,1.33,7.46,0.0,0.08,8.27,8.94,7.61,0.0,0.0,0.08,0.16
Dameon Pierce,PHI,10.0,16.49,61.3,0.25,1.47,0.7,5.25,0.03,0.09,8.51,8.86,8.16,0.0,0.0,0.03,0.0
Noah Whittington,HOU,8.0,1.33,23.98,0.32,1.87,1.95,15.92,0.07,0.0,7.3,8.28,6.33,0.0,0.0,0.08,0.24
Chip Trayanum,NYJ,13.0,6.6,37.8,0.27,1.3,1.35,13.15,0.0,0.0,7.39,8.07,6.72,0.0,0.0,0.07,0.22
Donovan Edwards,MIA,6.0,11.25,40.2,0.4,0.85,0.75,7.15,0.0,0.0,7.51,7.89,7.14,0.0,0.0,0.02,0.11
Max Bredeson,MIN,6.0,1.51,5.73,0.03,3.87,3.25,22.21,0.09,0.01,5.12,6.74,3.49,0.0,0.0,0.0,0.21
Reggie Gilliam,NE,11.0,0.47,1.0,0.0,3.3,2.8,21.2,0.12,0.01,4.32,5.72,2.92,0.0,0.0,0.0,0.24
Patrick Ricard,NYG,8.0,0.27,1.0,0.0,3.42,2.65,17.93,0.08,0.01,3.68,5.0,2.35,0.0,0.0,0.0,0.14
Bam Knight,ARI,14.0,0.0,0.0,0.2,2.03,1.5,12.6,0.07,0.0,3.63,4.38,2.88,0.0,0.0,0.0,0.14
Jacardia Wright,SEA,11.0,3.5,15.1,0.1,1.4,1.3,9.7,0.0,0.0,3.73,4.38,3.08,0.0,0.0,0.02,0.12
Dylan Laube,LV,13.0,5.77,16.54,0.02,1.82,1.49,9.4,0.02,0.06,3.46,4.2,2.71,0.0,0.0,0.0,0.07
British Brooks,HOU,8.0,8.23,30.98,0.05,0.2,0.0,0.0,0.0,0.01,3.38,3.38,3.38,0.0,0.0,0.02,0.0
Julius Chestnut,TEN,9.0,5.11,19.49,0.05,1.8,0.55,4.45,0.0,0.02,2.93,3.2,2.65,0.0,0.0,0.01,0.0
Sione Vaki,DET,6.0,4.65,18.24,0.03,1.0,0.53,4.4,0.0,0.01,2.69,2.95,2.42,0.0,0.0,0.01,0.02
Zonovan Knight,ARI,14.0,3.0,14.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.02,0.0
Eric Gray,NYG,8.0,0.95,4.5,0.0,1.1,1.1,4.0,0.0,0.0,1.4,1.95,0.85,0.0,0.0,0.01,0.0
Kene Nwangwu,NYJ,13.0,3.72,14.23,0.0,0.3,0.0,0.07,0.0,0.02,1.39,1.39,1.39,0.0,0.0,0.01,0.0
Josh Williams,TB,10.0,2.13,6.46,0.0,0.0,0.0,0.0,0.0,0.01,0.63,0.63,0.63,0.0,0.0,0.0,0.0
Ulysses Bentley,IND,13.0,3.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
DeeJay Dallas,JAC,7.0,0.73,3.17,0.0,0.17,0.03,0.13,0.0,0.0,0.35,0.36,0.33,0.0,0.0,0.0,0.0
Craig Reynolds,NE,11.0,1.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
