WR,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fum,Fantasy Points (Half),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Xavier Smith,LAR,11.0,11.51,7.67,118.38,0.37,0.33,1.34,0.0,0.05,17.93,21.76,14.09,0.02,0.0,0.0,1.99
KeAndre Lambert-Smith,LAC,7.0,15.16,7.92,97.31,0.67,0.1,0.36,0.0,0.05,17.65,21.61,13.69,0.01,0.0,0.0,1.1
JP Richardson,CHI,10.0,11.2,10.21,80.11,0.57,0.0,0.0,0.0,0.09,16.36,21.46,11.25,0.01,0.0,0.0,1.03
Malik Benson,LV,13.0,11.77,8.12,102.18,0.47,0.0,0.0,0.0,0.06,16.98,21.04,12.92,0.01,0.0,0.0,1.54
Tai Felton,MIN,6.0,12.41,8.89,95.47,0.34,0.07,0.26,0.0,0.02,16.02,20.46,11.57,0.01,0.0,0.0,1.31
David Moore,CAR,5.0,14.83,7.81,78.26,0.63,1.44,5.35,0.02,0.05,16.07,19.97,12.16,0.01,0.0,0.0,0.64
Tyrell Shavers,BUF,7.0,9.49,5.99,97.85,0.6,0.1,0.42,0.0,0.02,16.38,19.38,13.39,0.01,0.0,0.0,1.65
Kevin Austin Jr.,NO,8.0,18.57,7.97,91.45,0.35,0.35,0.85,0.0,0.0,15.32,19.3,11.33,0.01,0.0,0.0,0.63
CJ Daniels,LAR,11.0,13.0,7.05,91.93,0.5,0.1,0.41,0.0,0.02,15.72,19.24,12.19,0.01,0.0,0.0,1.16
Colbie Young,CIN,6.0,9.06,7.84,86.7,0.46,0.0,0.14,0.0,0.05,15.26,19.18,11.34,0.01,0.0,0.0,1.4
JuJu Smith-Schuster,NYG,8.0,6.08,7.56,81.04,0.53,0.2,0.67,0.0,0.01,15.11,18.89,11.33,0.01,0.0,0.0,1.53
David Sills,TB,10.0,12.05,6.73,72.23,0.77,0.9,1.5,0.0,0.0,15.36,18.72,11.99,0.0,0.0,0.0,0.74
Josh Reynolds,NYJ,13.0,21.9,9.4,85.0,0.0,0.0,0.0,0.0,0.0,13.2,17.9,8.5,0.01,0.0,0.0,0.15
Darius Cooper,PHI,10.0,7.77,7.66,79.39,0.38,0.0,0.0,0.0,0.03,13.99,17.82,10.16,0.01,0.0,0.0,1.33
K.J. Osborn,TEN,9.0,0.0,6.8,77.35,0.51,0.0,0.0,0.0,0.0,14.2,17.59,10.79,0.01,0.0,0.0,0.0
Josh Cameron,JAC,7.0,8.7,6.42,74.11,0.54,0.38,1.48,0.02,0.02,14.09,17.3,10.88,0.0,0.0,0.0,1.1
Quez Watkins,FA,,0.0,6.8,79.9,0.34,0.0,0.0,0.0,,13.43,16.83,10.03,0.01,0.0,0.0,0.0
Jonathan Mingo,DAL,14.0,7.82,6.22,75.58,0.44,0.0,2.17,0.0,0.02,13.49,16.59,10.38,0.01,0.0,0.0,1.22
Bo Melton,GB,11.0,14.82,5.89,72.66,0.32,2.23,12.89,0.05,0.07,13.58,16.52,10.63,0.01,0.0,0.02,0.49
Reggie Virgil,ARI,14.0,7.81,6.11,80.13,0.37,0.0,0.0,0.0,0.01,13.27,16.32,10.21,0.01,0.0,0.0,1.34
Lil'Jordan Humphrey,DEN,10.0,9.8,5.46,62.27,0.52,0.0,0.0,0.0,0.01,12.06,14.79,9.33,0.0,0.0,0.0,0.69
Aaron Anderson,CLE,11.0,11.7,5.7,65.3,0.39,0.0,0.0,0.0,0.0,11.72,14.57,8.87,0.0,0.0,0.0,0.59
Mason Tipton,NO,8.0,9.77,6.63,58.8,0.17,1.44,7.19,0.04,0.05,11.07,14.39,7.76,0.0,0.0,0.01,0.61
