player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,air_yards_total,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0035685,David Montgomery,HOU,RB,2026,2,42,52.0,6,33.3,2,4.0,2,0,0.0,0,0.0,4.5,9.0,50,18,4,0
00-0038046,Charlie Kolar,LAC,TE,2026,2,42,62.0,0,0.0,3,11.5,3,0,0.0,0,0.0,3.7,11.0,26,32,1,2
00-0039410,Ryan Flournoy,DAL,WR,2026,2,42,76.0,0,0.0,6,19.4,5,0,0.0,0,0.0,1.3,8.0,31,21,4,1
00-0037247,George Pickens,DAL,WR,2026,2,42,76.0,0,0.0,8,25.8,6,0,0.0,0,0.0,10.4,83.0,31,21,4,1
00-0036309,Darnell Mooney,NYG,WR,2026,2,42,72.0,0,0.0,3,9.4,2,0,0.0,0,0.0,11.7,35.0,32,21,1,1
00-0033293,Aaron Jones,MIN,RB,2026,2,42,81.0,23,82.1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,19,28,1,0
00-0040735,Luther Burden III,CHI,WR,2026,2,42,57.0,0,0.0,7,23.3,3,1,50.0,0,0.0,12.4,87.0,30,31,2,1
00-0038597,Chase Brown,CIN,RB,2026,2,42,70.0,20,87.0,5,16.1,3,0,0.0,0,0.0,-3.0,-15.0,31,23,2,0
00-0036358,CeeDee Lamb,DAL,WR,2026,2,41,75.0,0,0.0,9,29.0,8,2,50.0,0,0.0,15.1,136.0,31,21,4,1
00-0040134,Pat Bryant,DEN,WR,2026,2,41,66.0,1,3.6,1,3.4,0,0,0.0,0,0.0,5.0,5.0,29,28,2,4
00-0034753,Mark Andrews,BAL,TE,2026,2,41,71.0,0,0.0,7,24.1,6,0,0.0,0,0.0,6.7,47.0,29,22,1,1
00-0036637,Noah Gray,KC,TE,2026,2,40,50.0,0,0.0,1,2.3,0,0,0.0,0,0.0,11.0,11.0,43,29,3,3
00-0036422,Adam Trautman,DEN,TE,2026,2,40,65.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,29,28,2,4
00-0038728,Jared Wayne,HOU,WR,2026,2,40,50.0,0,0.0,7,14.0,2,1,25.0,0,0.0,14.9,104.0,50,18,4,0
00-0041438,Carnell Tate,TEN,WR,2026,2,40,75.0,0,0.0,5,29.4,3,0,0.0,0,0.0,10.0,50.0,17,29,1,4
00-0037838,Isaiah Likely,NYG,TE,2026,2,40,69.0,0,0.0,10,31.2,5,0,0.0,0,0.0,4.8,48.0,32,21,1,1
00-0031381,Davante Adams,LAR,WR,2026,2,40,65.0,0,0.0,10,33.3,8,1,50.0,0,0.0,19.8,198.0,30,28,2,0
00-0040784,Quinshon Judkins,CLE,RB,2026,2,39,67.0,12,52.2,5,16.7,5,0,0.0,0,0.0,-1.6,-8.0,30,23,1,0
00-0039746,Will Shipley,PHI,RB,2026,2,39,51.0,7,21.9,2,5.9,2,0,0.0,0,0.0,0.0,0.0,34,32,4,1
00-0037545,Rashid Shaheed,SEA,WR,2026,2,39,56.0,1,2.5,6,23.1,3,0,0.0,0,0.0,11.2,67.0,26,40,3,8
00-0036626,Dyami Brown,WAS,WR,2026,2,39,55.0,0,0.0,6,17.6,4,2,25.0,0,0.0,8.0,48.0,34,32,8,1
00-0033555,Mack Hollins,NE,WR,2026,2,39,71.0,0,0.0,2,9.5,2,0,0.0,0,0.0,6.0,12.0,21,28,0,0
00-0037291,Jalen Nailor,LV,WR,2026,2,38,60.0,0,0.0,3,10.3,1,1,25.0,0,0.0,9.0,27.0,29,29,4,4
00-0036613,Jaylen Waddle,DEN,WR,2026,2,38,61.0,0,0.0,10,34.5,8,0,0.0,0,0.0,15.3,153.0,29,28,2,4
