player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,inside5_rush,inside5_rush_pct,routes,routes_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,adot,air_yards_total,team_snaps,team_rush_att,team_inside5_rush,team_targets,team_ez_tgts,team_routes
00-0037267,Jerome Ford,CLE,RB,2025,1,41,54.0,6,25.0,2,50.0,25,52.1,1,2.4,0,0,0.0,-5.0,0.0,76,24,4,42,1,48
00-0036410,Tee Higgins,CIN,WR,2025,1,41,79.0,0,0.0,0,0.0,25,86.2,4,17.4,0,0,0.0,12.2,0.0,52,23,2,23,2,29
00-0030279,Keenan Allen,LAC,WR,2025,1,40,62.0,0,0.0,0,0.0,32,78.0,10,29.4,0,1,25.0,8.9,0.0,65,25,0,34,4,41
00-0038976,Marvin Mims Jr.,DEN,WR,2025,1,40,53.0,0,0.0,0,0.0,27,62.8,4,10.8,0,0,0.0,8.8,0.0,76,30,0,37,2,43
00-0036158,J.K. Dobbins,DEN,RB,2025,1,40,53.0,16,53.3,0,0.0,13,30.2,2,5.4,0,0,0.0,-1.5,0.0,76,30,0,37,2,43
00-0036973,Travis Etienne,JAC,RB,2025,1,40,61.0,16,50.0,0,0.0,15,45.5,3,10.3,0,0,0.0,-3.3,0.0,66,32,0,29,1,33
00-0039066,Michael Mayer,LV,TE,2025,1,40,63.0,0,0.0,0,0.0,16,40.0,4,12.1,0,0,0.0,3.5,0.0,63,24,1,33,1,40
00-0033555,Mack Hollins,NE,WR,2025,1,40,56.0,0,0.0,0,0.0,21,39.6,2,4.4,0,0,0.0,6.5,0.0,71,18,1,45,3,53
00-0038543,Jaxon Smith-Njigba,SEA,WR,2025,1,40,77.0,0,0.0,0,0.0,23,88.5,13,59.1,0,0,0.0,13.7,0.0,52,26,2,22,0,26
00-0039356,Ja'Tavion Sanders,CAR,TE,2025,1,39,61.0,0,0.0,0,0.0,26,65.0,3,8.8,0,0,0.0,13.7,0.0,64,25,0,34,1,40
00-0040581,Dont'e Thornton Jr.,LV,WR,2025,1,38,60.0,0,0.0,0,0.0,25,62.5,4,12.1,0,0,0.0,25.0,0.0,63,24,1,33,1,40
00-0034753,Mark Andrews,BAL,TE,2025,1,38,75.0,0,0.0,0,0.0,16,72.7,1,5.3,0,0,0.0,4.0,0.0,51,29,0,19,1,22
00-0039075,Puka Nacua,LA,WR,2025,1,38,63.0,1,4.0,0,0.0,22,68.8,11,39.3,0,0,0.0,8.9,0.0,60,25,3,28,1,32
00-0040126,Colston Loveland,CHI,TE,2025,1,38,57.0,0,0.0,0,0.0,21,47.7,2,5.9,0,0,0.0,2.5,0.0,67,26,0,34,2,44
00-0036550,Rashod Bateman,BAL,WR,2025,1,37,73.0,0,0.0,0,0.0,19,86.4,4,21.1,0,0,0.0,10.5,0.0,51,29,0,19,1,22
00-0032385,Sterling Shepard,TB,WR,2025,1,37,64.0,0,0.0,0,0.0,27,73.0,6,20.0,0,0,0.0,14.3,0.0,58,23,0,30,1,37
00-0033858,Jonnu Smith,PIT,TE,2025,1,37,66.0,0,0.0,0,0.0,18,52.9,6,20.7,0,0,0.0,-1.0,0.0,56,20,1,29,1,34
00-0034159,Will Dissly,LAC,TE,2025,1,37,57.0,0,0.0,0,0.0,21,51.2,1,2.9,0,0,0.0,5.0,0.0,65,25,0,34,4,41
00-0036628,John Bates,WAS,TE,2025,1,37,53.0,0,0.0,0,0.0,7,18.9,0,0.0,0,0,0.0,0.0,0.0,70,32,0,29,1,37
00-0037086,Grant Calcaterra,PHI,TE,2025,1,37,59.0,0,0.0,0,0.0,10,29.4,0,0.0,0,0,0.0,0.0,0.0,63,38,3,20,0,34
00-0038120,Breece Hall,NYJ,RB,2025,1,37,58.0,19,47.5,1,25.0,8,32.0,4,18.2,0,0,0.0,-3.2,0.0,64,40,4,22,0,25
