player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0032464,Kalif Raymond,DET,WR,2025,2,32,54.0,1,3.3,1,3.6,0,0.0,0,0.0,14.0,28,30,2,3
00-0032211,Tyler Lockett,TEN,WR,2025,2,32,48.0,0,0.0,3,9.7,0,0.0,0,0.0,3.7,31,26,3,0
00-0036754,Brock Wright,DET,TE,2025,2,31,53.0,0,0.0,3,10.7,0,0.0,0,0.0,1.0,28,30,2,3
00-0031588,Stefon Diggs,NE,WR,2025,2,31,52.0,0,0.0,5,21.7,0,0.0,0,0.0,6.8,23,30,3,1
00-0036894,Pat Freiermuth,PIT,TE,2025,2,31,50.0,0,0.0,4,12.5,1,50.0,0,0.0,7.5,32,21,2,2
00-0033553,James Conner,ARI,RB,2025,2,30,55.0,11,50.0,1,4.0,0,0.0,2,66.7,0.0,25,22,3,3
00-0036980,Elijah Moore,BUF,WR,2025,2,30,40.0,2,4.7,1,4.0,0,0.0,1,50.0,12.0,25,43,1,2
00-0035208,Olamide Zaccheaus,CHI,WR,2025,2,30,44.0,1,3.7,5,15.2,0,0.0,0,0.0,10.6,33,27,2,1
00-0038120,Breece Hall,NYJ,RB,2025,2,30,64.0,10,47.6,3,14.3,0,0.0,0,0.0,-0.7,21,21,1,0
00-0034270,Tyler Conklin,LAC,TE,2025,2,29,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,27,26,1,3
00-0038720,Julian Hill,MIA,TE,2025,2,29,51.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,32,15,2,0
00-0034383,Dalton Schultz,HOU,TE,2025,2,29,59.0,0,0.0,4,17.4,0,0.0,0,0.0,5.0,23,19,4,1
00-0038618,Xavier Hutchinson,HOU,WR,2025,2,28,57.0,0,0.0,3,13.0,0,0.0,0,0.0,11.0,23,19,4,1
00-0033891,Zay Jones,ARI,WR,2025,2,28,51.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,25,22,3,3
00-0037525,Jordan Mason,MIN,RB,2025,2,28,60.0,9,47.4,3,14.3,0,0.0,0,0.0,-1.3,21,19,1,0
00-0035631,Drew Sample,CIN,TE,2025,2,28,41.0,0,0.0,2,4.7,0,0.0,0,0.0,-3.0,43,17,3,4
00-0040705,Chimere Dike,TEN,WR,2025,2,28,42.0,2,7.7,5,16.1,1,33.3,0,0.0,7.6,31,26,3,0
00-0040782,Isaiah Bond,CLE,WR,2025,2,28,38.0,1,4.5,3,7.3,0,0.0,0,0.0,3.0,41,22,2,0
00-0040236,Kyle Monangai,CHI,RB,2025,2,28,41.0,7,25.9,3,9.1,0,0.0,0,0.0,2.0,33,27,2,1
00-0039384,Tyrone Tracy Jr.,NYG,RB,2025,2,28,42.0,5,23.8,5,12.5,0,0.0,0,0.0,0.2,40,21,5,1
00-0036630,Tylan Wallace,BAL,WR,2025,2,28,50.0,0,0.0,2,7.1,1,14.3,0,0.0,9.0,28,21,7,2
00-0033591,Noah Brown,WAS,WR,2025,2,27,39.0,0,0.0,4,9.8,0,0.0,0,0.0,15.5,41,19,0,0
00-0034791,Nick Chubb,HOU,RB,2025,2,26,53.0,12,63.2,2,8.7,0,0.0,1,100.0,-3.5,23,19,4,1
00-0040648,Tory Horton,SEA,WR,2025,2,26,40.0,0,0.0,4,13.3,0,0.0,0,0.0,19.8,30,29,0,0
00-0038547,Luke Schoonmaker,DAL,TE,2025,2,26,29.0,0,0.0,2,3.8,0,0.0,0,0.0,8.5,52,28,5,1
00-0036919,Kenny Gainwell,PIT,RB,2025,2,26,42.0,5,23.8,5,15.6,0,0.0,1,50.0,-0.2,32,21,2,2
00-0037348,Tanner Conner,MIA,TE,2025,2,26,46.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,32,15,2,0
00-0036849,Tutu Atwell,LA,WR,2025,2,26,43.0,0,0.0,1,3.1,0,0.0,0,0.0,11.0,32,25,5,3
00-0040739,Elijah Arroyo,SEA,TE,2025,2,26,40.0,0,0.0,3,10.0,0,0.0,0,0.0,2.0,30,29,0,0
00-0036158,J.K. Dobbins,DEN,RB,2025,2,26,45.0,14,58.3,2,6.7,0,0.0,3,100.0,0.0,30,24,3,3
00-0033881,Evan Engram,DEN,TE,2025,2,25,43.0,0,0.0,2,6.7,0,0.0,0,0.0,4.5,30,24,3,3
00-0038679,Tyrell Shavers,BUF,WR,2025,2,25,33.0,0,0.0,2,8.0,0,0.0,0,0.0,12.5,25,43,1,2
00-0039074,Davis Allen,LA,TE,2025,2,25,41.0,0,0.0,1,3.1,0,0.0,0,0.0,5.0,32,25,5,3
00-0037256,Rachaad White,TB,RB,2025,2,25,31.0,10,33.3,2,5.6,0,0.0,1,100.0,-3.0,36,30,3,1
00-0033217,Mo Alie-Cox,IND,TE,2025,2,25,35.0,0,0.0,1,3.0,0,0.0,0,0.0,0.0,33,32,2,2
00-0036139,Rico Dowdle,CAR,RB,2025,2,25,29.0,7,33.3,1,1.9,0,0.0,2,66.7,4.0,53,21,6,3
00-0033923,Kareem Hunt,KC,RB,2025,2,24,40.0,8,30.8,1,3.4,0,0.0,0,0.0,-3.0,29,26,2,0
00-0033576,Eric Saubert,SEA,TE,2025,2,24,37.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,30,29,0,0
00-0039066,Michael Mayer,LV,TE,2025,2,24,34.0,0,0.0,2,4.7,0,0.0,0,0.0,3.5,43,19,4,0
00-0039921,Trey Benson,ARI,RB,2025,2,24,44.0,3,13.6,6,24.0,0,0.0,0,0.0,0.3,25,22,3,3
00-0039424,Devaughn Vele,NO,WR,2025,2,24,34.0,0,0.0,1,2.9,1,33.3,0,0.0,3.0,34,30,3,0
00-0035685,David Montgomery,DET,RB,2025,2,23,39.0,11,36.7,1,3.6,0,0.0,3,100.0,-7.0,28,30,2,3
00-0034159,Will Dissly,LAC,TE,2025,2,23,40.0,0,0.0,1,3.7,0,0.0,0,0.0,4.0,27,26,1,3
00-0038558,Darnell Washington,PIT,TE,2025,2,23,37.0,0,0.0,2,6.2,0,0.0,0,0.0,7.0,32,21,2,2
00-0038134,Kenneth Walker III,SEA,RB,2025,2,23,35.0,13,44.8,1,3.3,0,0.0,0,0.0,0.0,30,29,0,0
00-0034975,Justice Hill,BAL,RB,2025,2,22,39.0,3,14.3,3,10.7,0,0.0,0,0.0,-2.7,28,21,7,2
00-0039739,Roman Wilson,PIT,WR,2025,2,22,35.0,0,0.0,2,6.2,0,0.0,0,0.0,11.5,32,21,2,2
00-0038465,Malik Heath,GB,WR,2025,2,22,32.0,0,0.0,1,3.7,0,0.0,0,0.0,37.0,27,30,3,1
00-0034521,Allen Lazard,NYJ,WR,2025,2,22,47.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,21,21,1,0
00-0037741,Jahan Dotson,PHI,WR,2025,2,22,37.0,0,0.0,1,4.8,0,0.0,0,0.0,-6.0,21,34,0,4
00-0039041,Elijah Higgins,ARI,TE,2025,2,22,40.0,0,0.0,3,12.0,1,33.3,0,0.0,5.0,25,22,3,3
00-0040584,Gunnar Helm,TEN,TE,2025,2,22,33.0,0,0.0,2,6.5,0,0.0,0,0.0,-0.5,31,26,3,0
00-0034487,Trent Sherfield,DEN,WR,2025,2,22,38.0,0,0.0,1,3.3,0,0.0,0,0.0,3.0,30,24,3,3
00-0040582,Arian Smith,NYJ,WR,2025,2,22,47.0,1,4.8,2,9.5,0,0.0,0,0.0,11.0,21,21,1,0
00-0037263,Tyler Allgeier,ATL,RB,2025,2,22,33.0,16,41.0,1,4.8,0,0.0,1,100.0,3.0,21,39,3,1
00-0037306,John FitzPatrick,GB,TE,2025,2,21,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,27,30,3,1
00-0040130,Jayden Higgins,HOU,WR,2025,2,21,43.0,0,0.0,1,4.3,0,0.0,0,0.0,4.0,23,19,4,1
00-0039144,Luke Musgrave,GB,TE,2025,2,21,31.0,0,0.0,2,7.4,0,0.0,0,0.0,12.5,27,30,3,1
00-0038040,Zamir White,LV,RB,2025,2,21,30.0,2,10.5,3,7.0,0,0.0,0,0.0,-1.0,43,19,4,0
00-0038976,Marvin Mims Jr.,DEN,WR,2025,2,21,36.0,0,0.0,2,6.7,1,33.3,0,0.0,9.0,30,24,3,3
00-0040784,Quinshon Judkins,CLE,RB,2025,2,20,27.0,10,45.5,3,7.3,0,0.0,0,0.0,0.7,41,22,2,0
00-0033293,Aaron Jones,MIN,RB,2025,2,20,43.0,5,26.3,1,4.8,0,0.0,0,0.0,-5.0,21,19,1,0
00-0034386,Justin Watson,HOU,WR,2025,2,20,41.0,0,0.0,2,8.7,1,25.0,0,0.0,9.5,23,19,4,1
00-0035243,Miles Sanders,DAL,RB,2025,2,20,22.0,5,17.9,2,3.8,0,0.0,1,100.0,-6.0,52,28,5,1
00-0039875,Ray Davis,BUF,RB,2025,2,20,27.0,9,20.9,0,0.0,0,0.0,0,0.0,0.0,25,43,1,2
00-0039379,Jamari Thrash,CLE,WR,2025,2,20,27.0,0,0.0,1,2.4,0,0.0,0,0.0,3.0,41,22,2,0
00-0036893,Najee Harris,LAC,RB,2025,2,20,34.0,8,30.8,2,7.4,0,0.0,0,0.0,2.5,27,26,1,3
00-0035537,Ty Johnson,BUF,RB,2025,2,19,25.0,2,4.7,1,4.0,0,0.0,0,0.0,-4.0,25,43,1,2
00-0040734,TreVeyon Henderson,NE,RB,2025,2,19,32.0,3,10.0,2,8.7,0,0.0,0,0.0,1.0,23,30,3,1
00-0040730,RJ Harvey,DEN,RB,2025,2,19,33.0,5,20.8,2,6.7,0,0.0,0,0.0,2.5,30,24,3,3
00-0036232,Harrison Bryant,HOU,TE,2025,2,19,39.0,0,0.0,1,4.3,0,0.0,0,0.0,14.0,23,19,4,1
00-0038115,Daniel Bellinger,NYG,TE,2025,2,19,28.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,40,21,5,1
00-0033246,Johnny Mundt,JAC,TE,2025,2,19,27.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,41,27,6,0
00-0039738,Blake Corum,LA,RB,2025,2,18,30.0,5,20.0,0,0.0,0,0.0,1,33.3,0.0,32,25,5,3
00-0036741,Jack Stoll,NO,TE,2025,2,18,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,34,30,3,0
00-0038824,Ryan Miller,TB,WR,2025,2,18,22.0,0,0.0,1,2.8,1,33.3,0,0.0,20.0,36,30,3,1
00-0040727,Tre Harris,LAC,WR,2025,2,18,31.0,0,0.0,3,11.1,0,0.0,0,0.0,10.7,27,26,1,3
00-0038456,Travis Vokolek,ARI,TE,2025,2,18,33.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,25,22,3,3
00-0040719,Bhayshul Tuten,JAC,RB,2025,2,18,25.0,8,29.6,2,4.9,0,0.0,0,0.0,-5.5,41,27,6,0
00-0036415,Van Jefferson,TEN,WR,2025,2,17,26.0,0,0.0,2,6.5,0,0.0,0,0.0,4.5,31,26,3,0
00-0040669,Isaac TeSlaa,DET,WR,2025,2,17,29.0,0,0.0,1,3.6,0,0.0,0,0.0,27.0,28,30,2,3
00-0040162,Dylan Sampson,CLE,RB,2025,2,17,23.0,4,18.2,3,7.3,1,50.0,0,0.0,2.3,41,22,2,0
00-0038606,Parker Washington,JAC,WR,2025,2,17,24.0,0,0.0,5,12.2,0,0.0,0,0.0,6.6,41,27,6,0
00-0037805,Jeremy Ruckert,NYJ,TE,2025,2,17,36.0,0,0.0,1,4.8,1,100.0,0,0.0,5.0,21,21,1,0
00-0035644,Noah Fant,CIN,TE,2025,2,17,25.0,0,0.0,4,9.3,0,0.0,0,0.0,6.2,43,17,3,4
00-0039050,Payne Durham,TB,TE,2025,2,17,21.0,0,0.0,1,2.8,0,0.0,0,0.0,5.0,36,30,3,1
00-0033955,Jeremy McNichols,WAS,RB,2025,2,16,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,41,19,0,0
00-0036182,Nick Westbrook-Ikhine,MIA,WR,2025,2,16,28.0,0,0.0,3,9.4,0,0.0,0,0.0,6.0,32,15,2,0
00-0037746,Brian Robinson,SF,RB,2025,2,16,23.0,6,23.1,1,2.6,0,0.0,0,0.0,-6.0,38,26,1,0
00-0039355,Luke McCaffrey,WAS,WR,2025,2,16,23.0,0,0.0,2,4.9,0,0.0,0,0.0,8.5,41,19,0,0
00-0038840,Brycen Tremayne,CAR,WR,2025,2,15,18.0,0,0.0,5,9.4,0,0.0,0,0.0,12.4,53,21,6,3
00-0038621,DeMario Douglas,NE,WR,2025,2,15,25.0,0,0.0,1,4.3,0,0.0,0,0.0,5.0,23,30,3,1
00-0040138,Jaylin Noel,HOU,WR,2025,2,15,31.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,23,19,4,1
00-0040242,Jacory Croskey-Merritt,WAS,RB,2025,2,15,22.0,4,21.1,1,2.4,0,0.0,0,0.0,6.0,41,19,0,0
00-0034407,Ray-Ray McCloud,ATL,WR,2025,2,15,23.0,0,0.0,2,9.5,1,33.3,0,0.0,10.0,21,39,3,1
