Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
82,TE82,Jeremy Ruckert,NYJ,TE,13,8,82,82,0.00
83,TE83,Tyler Conklin,DET,TE,6,8,83,83,0.00
84,TE84,Luke Farrell,SF,TE,8,8,84,84,0.00
85,TE85,Tanner Hudson,CIN,TE,6,8,85,85,0.00
86,TE86,Justin Joly,MIA,TE,6,8,86,86,0.00
87,TE87,Grant Calcaterra,PHI,TE,10,8,87,87,0.00
88,TE88,Jared Wiley,KC,TE,5,8,88,88,0.00
89,TE89,Brevyn Spann-Ford,DAL,TE,14,8,89,89,0.00
90,TE90,Payne Durham,TB,TE,10,8,90,90,0.00
91,TE91,Charlie Woerner,ATL,TE,11,8,91,91,0.00
92,TE92,Josh Whyle,GB,TE,11,8,92,92,0.00
93,TE93,Drew Ogletree,IND,TE,13,8,93,93,0.00
94,TE94,Bauer Sharp,TB,TE,10,9,94,94,0.00
95,TE95,Jelani Woods,NYJ,TE,13,9,95,95,0.00
96,TE96,Riley Nowakowski,PIT,TE,9,9,96,96,0.00
97,TE97,Blake Whiteheart,CLE,TE,11,9,97,97,0.00
98,TE98,Nate Adkins,DEN,TE,10,9,98,98,0.00
99,TE99,Ian Thomas,LV,TE,13,9,99,99,0.00
100,TE100,Josh Cuevas,BAL,TE,13,9,100,100,0.00
101,TE101,Hunter Long,ARI,TE,14,9,101,101,0.00
102,TE102,Dallen Bentley,DEN,TE,10,9,102,102,0.00
103,TE103,Johnny Mundt,PHI,TE,10,9,103,103,0.00
104,TE104,Kylen Granson,TEN,TE,9,9,104,104,0.00
105,TE105,Thomas Fidone II,NYG,TE,8,9,105,105,0.00
106,TE106,Ben Yurosek,MIN,TE,6,9,106,106,0.00
107,TE107,Carsen Ryan,CLE,TE,11,9,107,107,0.00
108,TE108,Eric Saubert,SEA,TE,11,9,108,108,0.00
109,TE109,Chris Manhertz,NYG,TE,8,9,109,109,0.00
110,TE110,Colson Yankoff,WAS,TE,7,9,110,110,0.00
111,TE111,Robert Tonyan,PIT,TE,9,9,111,111,0.00
112,TE112,Brady Russell,SEA,TE,11,9,112,112,0.00
113,TE113,Brevin Jordan,HOU,TE,8,9,113,113,0.00
114,TE114,Keleki Latu,BUF,TE,7,9,114,114,0.00
115,TE115,Ko Kieft,TB,TE,10,9,115,115,0.00
116,TE116,Tanner Arkin,NE,TE,11,9,116,116,0.00
117,TE117,Connor Heyward,LV,TE,13,9,117,117,0.00
