Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
42,WR23,Jameson Williams,DET,WR,6,6,46,46,0.00
43,WR24,Luther Burden III,CHI,WR,10,6,47,47,0.00
44,RB17,Travis Etienne Jr.,NO,RB,8,6,48,48,0.00
45,WR25,Terry McLaurin,WAS,WR,7,6,49,49,0.00
46,RB18,Bucky Irving,TB,RB,10,6,50,50,0.00
47,RB19,Cam Skattebo,NYG,RB,8,6,51,51,0.00
48,WR26,DJ Moore,BUF,WR,7,7,53,53,0.00
49,RB20,Rhamondre Stevenson,NE,RB,11,7,54,54,0.00
50,TE4,Tyler Warren,IND,TE,13,7,55,55,0.00
51,RB21,Quinshon Judkins,CLE,RB,11,7,56,56,0.00
52,WR27,Christian Watson,GB,WR,11,7,58,58,0.00
53,RB22,D'Andre Swift,CHI,RB,10,7,59,59,0.00
54,WR28,Rome Odunze,CHI,WR,10,7,60,60,0.00
55,WR29,DK Metcalf,PIT,WR,9,7,62,62,0.00
56,RB23,Jadarian Price,SEA,RB,11,7,63,63,0.00
57,RB24,Rico Dowdle,PIT,RB,9,7,64,64,0.00
58,TE5,Kyle Pitts Sr.,ATL,TE,11,7,65,65,0.00
59,RB25,Jaylen Warren,PIT,RB,9,7,66,66,0.00
60,WR30,Parker Washington,JAC,WR,7,7,67,67,0.00
61,WR31,Marvin Harrison Jr.,ARI,WR,14,7,69,69,0.00
62,RB26,David Montgomery,HOU,RB,8,7,70,70,0.00
63,RB27,Bhayshul Tuten,JAC,RB,7,8,71,71,0.00
64,WR32,Mike Evans,SF,WR,8,8,73,73,0.00
65,WR33,Carnell Tate,TEN,WR,9,8,74,74,0.00
66,TE6,Harold Fannin Jr.,CLE,TE,11,8,75,75,0.00
67,RB28,TreVeyon Henderson,NE,RB,11,8,76,76,0.00
68,RB29,Tony Pollard,TEN,RB,9,8,78,78,0.00
69,WR34,Quentin Johnston,LAC,WR,7,8,79,79,0.00
70,WR35,Michael Pittman Jr.,PIT,WR,9,8,80,80,0.00
71,RB30,Blake Corum,LAR,RB,11,8,81,81,0.00
72,WR36,Stefon Diggs,WAS,WR,7,8,82,82,0.00
73,TE7,Tucker Kraft,GB,TE,11,8,83,83,0.00
74,RB31,Jonathon Brooks,CAR,RB,5,8,84,84,0.00
75,TE8,Sam LaPorta,DET,TE,6,8,85,85,0.00
76,WR37,Courtland Sutton,DEN,WR,10,8,86,86,0.00
77,RB32,Chuba Hubbard,CAR,RB,5,8,87,87,0.00
78,WR38,Alec Pierce,IND,WR,13,8,88,88,0.00
79,WR39,Brian Thomas Jr.,JAC,WR,7,8,90,90,0.00
80,RB33,RJ Harvey,DEN,RB,10,8,91,91,0.00
81,WR40,De'Zhaun Stribling,SF,WR,8,9,92,92,0.00
82,TE9,Travis Kelce,KC,TE,5,9,93,93,0.00
83,WR41,Josh Downs,IND,WR,13,9,94,94,0.00
84,TE10,George Kittle,SF,TE,8,9,95,95,0.00
85,RB34,MarShawn Lloyd,GB,RB,11,9,97,97,0.00
86,RB35,Jordan Mason,MIN,RB,6,9,98,98,0.00
87,WR42,Michael Wilson,ARI,WR,14,9,100,100,0.00
88,RB36,Kyle Monangai,CHI,RB,10,9,101,101,0.00
89,TE11,Dalton Kincaid,BUF,TE,7,9,104,104,0.00
90,WR43,Chris Godwin Jr.,TB,WR,10,9,105,105,0.00
91,WR44,Jayden Reed,GB,WR,11,9,107,107,0.00
92,WR45,Romeo Doubs,NE,WR,11,9,108,108,0.00
93,TE12,Dallas Goedert,PHI,TE,10,9,109,109,0.00
94,TE13,Jake Ferguson,DAL,TE,14,9,110,110,0.00
95,RB37,Rachaad White,WAS,RB,7,9,112,112,0.00
96,WR46,Wan'Dale Robinson,TEN,WR,9,9,113,113,0.00
97,WR47,Jakobi Meyers,JAC,WR,7,9,114,114,0.00
98,RB38,J.K. Dobbins,DEN,RB,10,9,115,115,0.00
99,RB39,Kenny Gainwell,TB,RB,10,9,116,116,0.00
100,RB40,Jacory Croskey-Merritt,WAS,RB,7,10,118,118,0.00
101,WR48,Jordan Addison,MIN,WR,6,10,119,119,0.00
102,RB41,Woody Marks,HOU,RB,8,10,120,120,0.00
103,WR49,Makai Lemon,PHI,WR,10,10,121,121,0.00
104,TE14,Isaiah Likely,NYG,TE,8,10,122,122,0.00
105,WR50,Matthew Golden,GB,WR,11,10,124,124,0.00
106,RB42,Aaron Jones Sr.,MIN,RB,6,10,125,125,0.00
107,WR51,Xavier Worthy,KC,WR,5,10,126,126,0.00
108,RB43,Keaton Mitchell,LAC,RB,7,10,128,128,0.00
109,TE15,Mark Andrews,BAL,TE,13,10,129,129,0.00
110,RB44,Tyjae Spears,TEN,RB,9,10,130,130,0.00
111,WR52,KC Concepcion,CLE,WR,11,10,131,131,0.00
112,RB45,Jonah Coleman,DEN,RB,10,10,133,133,0.00
113,WR53,Khalil Shakir,BUF,WR,7,10,134,134,0.00
114,WR54,Tre Tucker,LV,WR,13,10,135,135,0.00
115,TE16,Hunter Henry,NE,TE,11,10,136,136,0.00
116,WR55,Jalen Coker,CAR,WR,5,10,138,138,0.00
117,RB46,Chris Rodriguez Jr.,JAC,RB,7,10,139,139,0.00
118,WR56,Deebo Samuel Sr.,SF,WR,8,10,140,140,0.00
119,RB47,Tyler Allgeier,ARI,RB,14,10,141,141,0.00
120,TE17,Dalton Schultz,HOU,TE,8,10,142,142,0.00
121,RB48,Mike Washington Jr.,LV,RB,13,10,143,143,0.00
122,RB49,Josh Jacobs,GB,RB,11,10,144,144,0.00
123,RB50,Emmett Johnson,KC,RB,5,11,146,146,0.00
124,WR57,Kayshon Boutte,HOU,WR,8,11,147,147,0.00
125,WR58,Rashid Shaheed,SEA,WR,11,11,148,148,0.00
126,RB51,Dylan Sampson,CLE,RB,11,11,150,150,0.00
127,WR59,Jalen McMillan,TB,WR,10,11,152,152,0.00
128,TE18,Brenton Strange,JAC,TE,7,11,153,153,0.00
129,RB52,Brian Robinson Jr.,ATL,RB,11,11,154,154,0.00
130,RB53,Alvin Kamara,NO,RB,8,11,155,155,0.00
131,TE19,Juwan Johnson,NO,TE,8,11,156,156,0.00
132,RB54,Zach Charbonnet,SEA,RB,11,11,158,158,0.00
133,RB55,Tank Bigsby,PHI,RB,10,11,160,160,0.00
134,WR60,Adonai Mitchell,NYJ,WR,13,11,161,161,0.00
135,RB56,Braelon Allen,NYJ,RB,13,11,162,162,0.00
136,WR61,Denzel Boston,CLE,WR,11,11,163,163,0.00
137,WR62,Jalen Nailor,LV,WR,13,11,164,164,0.00
138,WR63,Dontayvion Wicks,PHI,WR,10,11,166,166,0.00
139,RB57,Nicholas Singleton,TEN,RB,9,11,167,167,0.00
140,WR64,Jordyn Tyson,NO,WR,8,11,168,168,0.00
141,TE20,T.J. Hockenson,MIN,TE,6,11,171,171,0.00
142,WR65,Keenan Allen,IND,WR,13,11,172,172,0.00
143,RB58,Tyrone Tracy Jr.,NYG,RB,8,11,173,173,0.00
144,WR66,Tre' Harris,LAC,WR,7,11,174,174,0.00
145,RB59,Malik Davis,DAL,RB,14,11,175,175,0.00
146,WR67,Caleb Douglas,MIA,WR,6,11,176,176,0.00
147,WR68,Jerry Jeudy,CLE,WR,11,11,178,178,0.00
148,TE21,Chig Okonkwo,WAS,TE,7,11,179,179,0.00
149,RB60,Ray Davis,BUF,RB,7,12,180,180,0.00
150,WR69,Ryan Flournoy,DAL,WR,14,12,182,182,0.00
151,RB61,George Holani,SEA,RB,11,12,187,187,0.00
152,WR70,Malachi Fields,NYG,WR,8,12,193,193,0.00
153,TE22,AJ Barner,SEA,TE,11,12,194,194,0.00
154,WR71,Jauan Jennings,MIN,WR,6,12,195,195,0.00
155,WR72,Ja'Kobi Lane,BAL,WR,13,12,197,197,0.00
156,RB62,Sean Tucker,TB,RB,10,12,199,199,0.00
157,WR73,Omar Cooper Jr.,NYJ,WR,13,12,200,200,0.00
158,TE23,Pat Freiermuth,PIT,TE,9,12,201,201,0.00
159,WR74,Pat Bryant,DEN,WR,10,12,202,202,0.00
160,WR75,Calvin Ridley,TEN,WR,9,12,203,203,0.00
161,WR76,Chris Bell,MIA,WR,6,12,206,206,0.00
162,TE24,Cade Otton,TB,TE,10,12,207,207,0.00
163,WR77,Malik Washington,MIA,WR,6,12,208,208,0.00
164,RB63,Justice Hill,BAL,RB,13,12,214,214,0.00
165,WR78,Ted Hurst III,TB,WR,10,12,216,216,0.00
166,RB64,Kimani Vidal,LAC,RB,7,12,217,217,0.00
167,WR79,Jaylin Noel,HOU,WR,8,12,219,219,0.00
168,RB65,Kaytron Allen,WAS,RB,7,13,220,220,0.00
169,WR80,Cyrus Allen,KC,WR,5,13,221,221,0.00
170,WR81,Isaac TeSlaa,DET,WR,6,13,222,222,0.00
171,TE25,Kenyon Sadiq,NYJ,TE,13,13,224,224,0.00
172,WR82,Darnell Mooney,NYG,WR,8,13,225,225,0.00
173,RB66,Kaelon Black,SF,RB,8,13,226,226,0.00
174,TE26,Terrance Ferguson,LAR,TE,11,13,227,227,0.00
175,WR83,Cooper Kupp,SEA,WR,11,13,228,228,0.00
176,RB67,Jacob Saylors,DET,RB,6,13,229,229,0.00
177,WR84,Antonio Williams,WAS,WR,7,13,230,230,0.00
178,RB68,Kaleb Johnson,GB,RB,11,13,231,231,0.00
179,TE27,Michael Mayer,LV,TE,13,13,234,234,0.00
180,RB69,Chris Brooks,GB,RB,11,13,235,235,0.00
181,RB70,Najee Harris,NYG,RB,8,13,236,236,0.00
182,WR85,Rashod Bateman,BAL,WR,13,13,237,237,0.00
183,WR86,Zachariah Branch,ATL,WR,11,13,239,239,0.00
184,RB71,Samaje Perine,CIN,RB,6,13,241,241,0.00
185,WR87,Devaughn Vele,NO,WR,8,13,242,242,0.00
186,WR88,Xavier Legette,CAR,WR,5,13,243,243,0.00
187,TE28,Gunnar Helm,TEN,TE,9,13,244,244,0.00
188,WR89,Travis Hunter,JAC,WR,7,13,245,245,0.00
189,RB72,Emanuel Wilson,SEA,RB,11,13,246,246,0.00
190,RB73,Jaylen Wright,MIA,RB,6,13,249,249,0.00
191,TE29,Oronde Gadsden II,LAC,TE,7,13,252,252,0.00
192,TE30,Greg Dulcich,MIA,TE,6,13,254,254,0.00
193,RB74,Demond Claiborne,MIN,RB,6,13,255,255,0.00
194,WR90,Germie Bernard,PIT,WR,9,13,256,256,0.00
195,TE31,Evan Engram,DEN,TE,10,13,257,257,0.00
196,RB75,Ollie Gordon II,MIA,RB,6,13,258,258,0.00
197,TE32,David Njoku,LAC,TE,7,13,259,259,0.00
198,WR91,Keon Coleman,BUF,WR,7,13,260,260,0.00
199,RB76,Ty Johnson,BUF,RB,7,13,261,261,0.00
200,WR92,Jack Bech,LV,WR,13,13,262,262,0.00
201,WR93,Andrei Iosivas,CIN,WR,6,13,263,263,0.00
202,RB77,Seth McGowan,IND,RB,13,13,264,264,0.00
203,WR94,Tyquan Thornton,KC,WR,5,14,265,265,0.00
204,TE33,Darren Waller,CAR,TE,5,14,266,266,0.00
205,WR95,Jahan Dotson,ATL,WR,11,14,267,267,0.00
206,WR96,Troy Franklin,DEN,WR,10,14,268,268,0.00
207,RB78,James Conner,ARI,RB,14,14,269,269,0.00
208,WR97,Tory Horton,SEA,WR,11,14,270,270,0.00
209,WR98,Kyle Williams,NE,WR,11,14,271,271,0.00
210,TE34,Colby Parkinson,LAR,TE,11,14,272,272,0.00
211,RB79,Kendre Miller,NO,RB,8,14,273,273,0.00
212,WR99,Skyler Bell,BUF,WR,7,14,275,275,0.00
213,RB80,LeQuint Allen Jr.,JAC,RB,7,14,276,276,0.00
214,TE35,Mike Gesicki,CIN,TE,6,14,279,279,0.00
215,RB81,Isaiah Davis,NYJ,RB,13,14,281,281,0.00
216,RB82,DJ Giddens,IND,RB,13,14,282,282,0.00
217,WR100,Zavion Thomas,CHI,WR,10,14,284,284,0.00
218,WR101,KaVontae Turpin,DAL,WR,14,14,285,285,0.00
219,RB83,Devin Singletary,NYG,RB,8,14,286,286,0.00
220,WR102,Tank Dell,HOU,WR,8,14,287,287,0.00
221,WR103,Marvin Mims Jr.,DEN,WR,10,14,288,288,0.00
222,RB84,Brashard Smith,KC,RB,5,14,289,289,0.00
223,WR104,DeMario Douglas,NE,WR,11,14,290,290,0.00
224,RB85,Kyle Juszczyk,SF,RB,8,14,291,291,0.00
225,WR105,Bryce Lance,NO,WR,8,14,292,292,0.00
226,RB86,Corey Kiner,NE,RB,11,14,293,293,0.00
227,WR106,Kendrick Bourne,ARI,WR,14,14,294,294,0.00
228,WR107,Roman Wilson,PIT,WR,9,14,295,295,0.00
229,WR108,Xavier Hutchinson,HOU,WR,8,14,296,296,0.00
230,WR109,Malik Benson,LV,WR,13,14,297,297,0.00
231,RB87,Emari Demercado,DAL,RB,14,14,298,298,0.00
232,WR110,Elijah Sarratt,BAL,WR,13,14,299,299,0.00
233,RB88,Tahj Brooks,CIN,RB,6,14,301,301,0.00
234,RB89,Jaydon Blue,PHI,RB,10,14,302,302,0.00
235,RB90,Rasheen Ali,BAL,RB,13,14,303,303,0.00
236,RB91,Trevor Etienne,CAR,RB,5,14,304,304,0.00
237,RB92,Audric Estime,NO,RB,8,14,305,305,0.00
238,RB93,AJ Dillon,CAR,RB,5,14,306,306,0.00
239,RB94,Isiah Pacheco,DET,RB,6,14,308,308,0.00
240,RB95,Adam Randall,BAL,RB,13,14,310,310,0.00
241,RB96,Ameer Abdullah,JAC,RB,7,14,311,311,0.00
