"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","85","Baker Mayfield","7.0","3.0","QB","TB","10","20.05","274.8","277.0","289.3","402.1","317.4","11.8","$5","$8"
"","86","Rico Dowdle","7.0","7.0","RB","PIT","9","12.02","154.5","181.0","175.6","279.2","200.0","11.0","$4","$7"
"Injured","87","RJ Harvey","7.0","7.0","RB","DEN","10","14.04","145.7","164.0","173.4","287.8","199.6","10.9","$3","$7"
"","88","Rome Odunze","7.0","6.0","WR","CHI","10","9.01","184.1","195.0","209.2","295.0","228.0","10.9","$7","$7"
"","89","J.K. Dobbins","7.0","7.0","RB","DEN","10","13.02","149.7","170.0","176.1","278.2","199.2","10.8","$3","$7"
"Value","90","D.K. Metcalf","7.0","6.0","WR","PIT","9","10.03","184.2","196.0","219.3","269.7","226.7","10.2","$5","$7"
"","91","Kyle Pitts","7.0","4.0","TE","ATL","11","8.04","175.9","186.0","191.2","248.6","204.1","9.5","$5","$6"
"","92","Parker Washington","7.0","6.0","WR","JAC","7","12.08","180.7","181.0","215.1","275.3","225.3","9.4","$5","$6"
"Sleeper","93","Jonathon Brooks","7.0","7.0","RB","CAR","5","16.03","131.2","123.0","156.2","307.7","193.0","9.1","$3","$6"
"","94","Cameron Dicker","7.0","1.0","K","LAC","7","13.06","151.3","139.0","170.0","181.9","169.9","9.0","$5","$6"
"","95","Rachaad White","7.0","7.0","RB","WAS","7","13.05","126.4","159.0","168.5","281.4","191.6","8.7","$2","$6"
"","96","Malik Willis","7.0","3.0","QB","MIA","6","24.01","266.7","266.0","274.9","409.6","310.2","8.6","$2","$6"
"","97","D.J. Moore","7.0","6.0","WR","BUF","7","8.02","180.2","191.0","207.1","283.7","223.1","8.2","$4","$5"
"Injured","98","George Kittle","7.0","4.0","TE","SF","8","9.07","113.9","183.0","189.8","282.8","201.4","7.7","$5","$5"
"","99","C.J. Stroud","7.0","3.0","QB","HOU","8","23.05","269.9","265.0","278.2","389.5","307.1","7.3","$3","$5"
