"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","89","Rico Dowdle","7.0","7.0","RB","PIT","9","12.02","139.8","163.0","158.9","252.7","181.0","12.3","$4","$7"
"","90","D.J. Moore","7.0","6.0","WR","BUF","7","8.02","149.6","158.0","172.0","235.6","185.3","12.3","$5","$7"
"","91","Kyle Pitts","7.0","3.0","TE","ATL","11","8.05","140.6","148.0","152.8","198.6","163.1","12.1","$6","$7"
"Injured","92","George Kittle","7.0","3.0","TE","SF","8","9.07","92.1","148.0","153.5","228.7","162.9","11.9","$6","$7"
"","93","Baker Mayfield","7.0","3.0","QB","TB","10","20.05","274.8","277.0","289.3","402.1","317.4","11.6","$4","$7"
"","94","Marvin Harrison Jr.","7.0","6.0","WR","ARI","14","9.05","148.4","160.0","168.6","236.0","183.3","11.0","$4","$6"
"Injured","95","Alec Pierce","7.0","6.0","WR","IND","13","10.06","147.1","165.0","171.0","229.1","182.5","10.5","$6","$6"
"Sleeper","96","Jonathon Brooks","8.0","8.0","RB","CAR","5","16.03","117.9","112.0","140.3","276.4","173.4","9.9","$3","$6"
"","97","Courtland Sutton","8.0","6.0","WR","DEN","10","10.05","147.9","151.0","172.0","221.9","181.2","9.6","$3","$5"
"Injured","98","RJ Harvey","8.0","8.0","RB","DEN","10","14.04","125.8","141.0","149.8","248.7","172.4","9.6","$2","$5"
"","99","Kyle Monangai","8.0","8.0","RB","CHI","10","14.06","131.2","142.0","144.2","252.4","171.4","9.3","$2","$5"
"","100","Cameron Dicker","8.0","1.0","K","LAC","7","13.07","151.3","139.0","170.0","181.9","169.9","9.0","$4","$5"
"","101","Carnell Tate","8.0","6.0","WR","TEN","9","7.07","139.9","159.0","166.5","234.8","180.3","9.0","$5","$5"
"","102","Blake Corum","8.0","8.0","RB","LAR","11","15.08","128.6","134.0","135.4","268.1","170.4","8.9","$3","$5"
"","103","Jordan Mason","8.0","8.0","RB","MIN","6","19.03","124.8","127.0","148.6","243.7","170.2","8.9","$2","$5"
"","104","Brian Thomas Jr.","8.0","6.0","WR","JAC","7","12.03","141.9","147.0","161.3","242.0","179.8","8.7","$6","$5"
"Value","105","Jayden Reed","8.0","6.0","WR","GB","11","18.01","143.7","143.0","169.0","224.8","179.6","8.5","$3","$5"
"","106","Jordyn Tyson","8.0","6.0","WR","NO","8","10.07","137.8","144.0","166.0","234.1","179.5","8.5","$3","$5"
"","107","Jordan Addison","8.0","6.0","WR","MIN","6","16.06","142.9","140.0","168.1","223.6","178.7","7.9","$3","$5"
"","108","Malik Willis","8.0","3.0","QB","MIA","6","24.05","266.7","266.0","274.9","409.6","310.2","7.8","$2","$4"
