"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","114","Jordan Love","9.0","3.0","QB","GB","11","12.11","279.6","276.0","294.3","406.1","322.1","18.6","$4","$11"
"","115","Rachaad White","9.0","9.0","RB","WAS","7","8.03","92.3","118.0","123.0","205.4","139.9","18.5","$4","$11"
"","116","Matthew Golden","9.0","8.0","WR","GB","11","8.13","99.3","98.0","109.1","186.6","128.5","18.4","$9","$11"
"","117","Matthew Stafford","9.0","3.0","QB","LAR","11","7.01","276.1","286.0","296.9","400.8","321.5","18.4","$4","$11"
"Sleeper","118","Tyler Shough","9.0","3.0","QB","NO","8","11.12","269.0","269.0","295.6","405.0","320.6","18.0","$6","$11"
"","119","KC Concepcion","9.0","8.0","WR","CLE","11","9.10","94.0","95.0","117.5","170.4","127.7","17.9","$7","$11"
"Sleeper","120","Jayden Higgins","9.0","8.0","WR","HOU","8","12.05","98.1","102.0","111.5","177.3","127.0","17.5","$6","$11"
"","121","Isiah Pacheco","9.0","9.0","RB","DET","6","10.14","95.1","86.0","106.8","218.9","135.3","17.2","$7","$10"
"","122","Michael Wilson","9.0","8.0","WR","ARI","14","9.01","94.4","118.0","115.1","169.2","126.1","17.0","$5","$10"
"","123","Kenneth Gainwell","10.0","10.0","RB","TB","10","8.01","100.9","109.0","116.0","190.2","133.5","16.7","$4","$10"
"","124","Baker Mayfield","10.0","3.0","QB","TB","10","12.03","274.8","277.0","289.3","402.1","317.4","16.5","$6","$10"
"","125","Josh Downs","10.0","8.0","WR","IND","13","10.01","96.3","105.0","114.6","165.0","125.0","16.4","$4","$10"
"","126","Chris Godwin","10.0","8.0","WR","TB","10","7.11","95.7","112.0","113.9","165.2","124.6","16.1","$3","$10"
"Injured","127","Zach Charbonnet","10.0","10.0","RB","SEA","11","10.10","79.7","128.0","99.6","224.1","129.9","15.7","$4","$10"
"Sleeper","128","Jalen McMillan","10.0","8.0","WR","TB","10","12.13","90.4","80.0","106.3","180.7","123.7","15.6","$20","$10"
"","129","Aaron Jones","10.0","10.0","RB","MIN","6","7.03","91.4","123.0","114.3","184.0","129.2","15.5","$5","$9"
"","130","Dallas Goedert","10.0","5.0","TE","PHI","10","7.10","91.6","99.0","100.7","130.9","107.3","15.5","$15","$9"
"","131","Brandon Aubrey","10.0","1.0","K","DAL","14","6.02","157.4","147.0","176.8","190.9","177.1","15.3","$7","$9"
"","132","Hunter Henry","10.0","5.0","TE","NE","11","12.07","93.2","97.0","100.2","130.3","107.1","15.3","$36","$9"
"","133","Stefon Diggs","10.0","8.0","WR","UNS","18","12.14","83.2","102.0","117.2","161.7","123.2","15.3","$4","$9"
"","134","Rashid Shaheed","10.0","8.0","WR","SEA","11","12.06","94.2","93.0","109.5","169.7","123.1","15.2","$14","$9"
"","135","Tyrone Tracy Jr.","10.0","10.0","RB","NYG","8","14.07","84.6","90.0","93.0","213.9","124.5","14.2","$5","$9"
"","136","Brenton Strange","10.0","5.0","TE","JAC","7","13.12","88.9","93.0","99.9","126.9","105.3","14.1","$18","$9"
"","137","Woody Marks","10.0","10.0","RB","HOU","8","10.12","90.6","92.0","100.7","193.3","124.1","14.0","$5","$9"
"","138","Deebo Samuel","10.0","8.0","WR","UNS","18","20.14","78.5","85.0","112.1","165.9","120.7","13.9","$20","$8"
"Sleeper","139","Isaiah Likely","10.0","5.0","TE","NYG","8","9.12","90.8","98.0","97.6","128.8","104.9","13.8","$32","$8"
"","140","Calvin Ridley","10.0","8.0","WR","TEN","9","13.05","91.7","74.0","106.6","166.3","120.2","13.6","$12","$8"
"","141","Tyjae Spears","11.0","11.0","RB","TEN","9","11.01","89.9","97.0","107.0","172.3","121.7","13.4","$2","$8"
"","142","Kaytron Allen","11.0","11.0","RB","WAS","7","66.11","75.0","32.0","81.5","232.3","121.5","13.3","$8","$8"
"","143","Malik Willis","11.0","3.0","QB","MIA","6","14.03","266.7","266.0","274.9","409.6","310.2","13.2","$3","$8"
"","144","Omar Cooper Jr.","11.0","9.0","WR","NYJ","13","12.09","89.6","84.0","98.5","177.3","118.4","12.5","$16","$8"
