QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
 , , , , , , , , , ,69,Omar Cooper Jr.,NYJ,$1,13, , , , , 
 , , , , , , , , , ,70,Germie Bernard,PIT,$1,9, , , , , 
 , , , , , , , , , ,71,Darius Slayton,NYG,$1,8, , , , , 
 , , , , , , , , , ,72,Andrei Iosivas,CIN,$1,6, , , , , 
 , , , , , , , , , ,73,Travis Hunter,JAX,$1,7, , , , , 
 , , , , , , , , , ,74,Jalen Nailor,LV,$1,13, , , , , 
 , , , , , , , , , ,75,Caleb Douglas,MIA,$1,6, , , , , 
 , , , , , , , , , ,76,Makai Lemon,PHI,$1,10, , , , , 
 , , , , , , , , , ,77,Jack Bech,LV,$1,13, , , , , 
 , , , , , , , , , ,78,Xavier Legette,CAR,$1,5, , , , , 
 , , , , , , , , , ,79,Cooper Kupp,SEA,$1,11, , , , , 
 , , , , , , , , , ,80,Ashton Dulin,IND,$1,13, , , , , 
 , , , , , , , , , ,81,KaVontae Turpin,DAL,$1,14, , , , , 
