Salary Cap Values #13
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Quinshon Judkins (RB - CLE),11,$23,,,,,,,,,,Kyle Monangai - CHI,10,$14,,,,Carnell Tate - TEN,9,$15,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$23,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$12,,,,Parker Washington - JAC,7,$14,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$23,,,,,,,,,,Blake Corum - LAR,11,$11,,,,Jayden Reed - GB,11,$14,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,
Malik Nabers (WR - NYG),8,$23,,,,,,,,,,Tyjae Spears - TEN,9,$11,,,,Chris Godwin Jr. - TB,10,$14,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$23,,,,,,,,,,Jordan Mason - MIN,6,$11,,,,Brian Thomas Jr. - JAC,7,$14,,,,Ja'Tavion Sanders - CAR,5,$0,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$22,,,,,,,,,,Jonathon Brooks - CAR,5,$11,,,,Michael Wilson - ARI,14,$13,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,
Davante Adams (WR - LAR),11,$22,,,,,,,,,,Woody Marks - HOU,8,$10,,,,Jordyn Tyson - NO,8,$13,,,,Noah Fant - NO,8,$0,,,,,,,,,,
Tee Higgins (WR - CIN),6,$22,,,,,,,,,,Alvin Kamara - NO,8,$9,,,,Khalil Shakir - BUF,7,$13,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$21,,,,,,,,,,Zach Charbonnet - SEA,11,$9,,,,Josh Downs - IND,13,$13,,,,Will Kacmarek - MIA,6,$0,,,,,,,,,,
Jameson Williams (WR - DET),6,$21,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$8,,,,Quentin Johnston - LAC,7,$13,,,,Erick All Jr. - CIN,6,$0,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$21,,,,,,,,,,Justice Hill - BAL,13,$8,,,,Jordan Addison - MIN,6,$13,,,,Jake Tonges - SF,8,$0,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$20,,,,,,,,,,Isiah Pacheco - DET,6,$8,,,,Xavier Worthy - KC,5,$12,,,,Austin Hooper - ATL,11,$0,,,,,,,,,,
David Montgomery (RB - HOU),8,$20,,,,,,,,,,Dylan Sampson - CLE,11,$8,,,,Ricky Pearsall - SF,8,$12,,,,Eli Stowers - PHI,10,$0,,,,,,,,,,
Tony Pollard (RB - TEN),9,$20,,,,,,,,,,Ty Johnson - BUF,7,$6,,,,Romeo Doubs - NE,11,$12,,,,Luke Musgrave - GB,11,$0,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$20,,,,,,,,,,Samaje Perine - CIN,6,$6,,,,John Metchie III - CAR,5,$11,,,,Josh Oliver - MIN,6,$0,,,,,,,,,,
Rome Odunze (WR - CHI),10,$20,,,,,,,,,,Tyler Allgeier - ARI,14,$6,,,,Makai Lemon - PHI,10,$11,,,,Daniel Bellinger - TEN,9,$0,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$20,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$6,,,,Rashid Shaheed - SEA,11,$10,,,,Noah Gray - KC,5,$0,,,,,,,,,,
DJ Moore (WR - BUF),7,$20,,,,,,,,,,AJ Dillon - CAR,5,$6,,,,Matthew Golden - GB,11,$10,,,,Brock Wright - DET,6,$0,,,,,,,,,,
Alec Pierce (WR - IND),13,$20,,,,,,,,,,Jordan James - SF,8,$6,,,,Jalen Coker - CAR,5,$10,,,,,,,,,,,,,,,,
Brock Bowers (TE - LV),13,$20,,,,,,,,,,Brian Robinson Jr. - ATL,11,$6,,,,Calvin Ridley - TEN,9,$10,,,,,,,,,,,,,,,,
Josh Allen (QB - BUF),7,$19,,,,,,,,,,Braelon Allen - NYJ,13,$6,,,,KC Concepcion - CLE,11,$8,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$19,,,,,,,,,,Emari Demercado - KC,5,$5,,,,Theo Wease Jr. - MIA,6,$8,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$19,,,,,,,,,,Mike Washington Jr. - LV,13,$4,,,,Jerry Jeudy - CLE,11,$8,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$19,,,,,,,,,,Kaelon Black - SF,8,$4,,,,Tre Tucker - LV,13,$8,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$19,,,,,,,,,,Keaton Mitchell - LAC,7,$4,,,,Jayden Higgins - HOU,8,$7,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$19,,,,,,,,,,Tank Bigsby - PHI,10,$3,,,,Jauan Jennings - MIN,6,$7,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$19,,,,,,,,,,Chris Brooks - GB,11,$3,,,,Jalen McMillan - TB,10,$7,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$18,,,,,,,,,,Adam Randall - BAL,13,$3,,,,Rashod Bateman - BAL,13,$7,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$18,,,,,,,,,,Malik Davis - DAL,14,$3,,,,Denzel Boston - CLE,11,$6,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$18,,,,,,,,,,James Conner - ARI,14,$3,,,,Antonio Williams - WAS,7,$6,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$17,,,,,,,,,,Kimani Vidal - LAC,7,$3,,,,Jalen Nailor - LV,13,$6,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$17,,,,,,,,,,Kyle Juszczyk - SF,8,$2,,,,Cooper Kupp - SEA,11,$6,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$17,,,,,,,,,,Emanuel Wilson - SEA,11,$2,,,,Tank Dell - HOU,8,$5,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$17,,,,,,,,,,Jaylen Wright - MIA,6,$2,,,,Omar Cooper Jr. - NYJ,13,$5,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$16,,,,,,,,,,Jawhar Jordan - HOU,8,$2,,,,Germie Bernard - PIT,9,$5,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$16,,,,,,,,,,Jaydon Blue - DAL,14,$2,,,,Adonai Mitchell - NYJ,13,$4,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$16,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$1,,,,Travis Hunter - JAC,7,$4,,,,,,,,,,,,,,,,
Wan'Dale Robinson (WR - TEN),9,$16,,,,,,,,,,MarShawn Lloyd - GB,11,$1,,,,Darnell Mooney - NYG,8,$3,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$16,,,,,,,,,,George Holani - SEA,11,$1,,,,Malik Washington - MIA,6,$3,,,,,,,,,,,,,,,,
Carnell Tate (WR - TEN),9,$15,,,,,,,,,,Kendre Miller - NO,8,$1,,,,Bub Means - NO,8,$3,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$14,,,,,,,,,,Ty Chandler - NO,8,$1,,,,Christian Kirk - SF,8,$3,,,,,,,,,,,,,,,,
Parker Washington (WR - JAC),7,$14,,,,,,,,,,Isaiah Davis - NYJ,13,$1,,,,Darius Slayton - NYG,8,$3,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$14,,,,,,,,,,Connor Heyward - LV,13,$1,,,,Jaylin Noel - HOU,8,$3,,,,,,,,,,,,,,,,
Chris Godwin Jr. (WR - TB),10,$14,,,,,,,,,,DJ Giddens - IND,13,$1,,,,Kayshon Boutte - NE,11,$3,,,,,,,,,,,,,,,,
Brian Thomas Jr. (WR - JAC),7,$14,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Troy Franklin - DEN,10,$2,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$14,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Ja'Kobi Lane - BAL,13,$2,,,,,,,,,,,,,,,,
Michael Wilson (WR - ARI),14,$13,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Nick Westbrook-Ikhine - IND,13,$2,,,,,,,,,,,,,,,,
Jordyn Tyson (WR - NO),8,$13,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Tory Horton - SEA,11,$2,,,,,,,,,,,,,,,,
Khalil Shakir (WR - BUF),7,$13,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Devaughn Vele - NO,8,$2,,,,,,,,,,,,,,,,
Josh Downs (WR - IND),13,$13,,,,,,,,,,Austin Ekeler - ,,$0,,,,Tyquan Thornton - KC,5,$2,,,,,,,,,,,,,,,,
Quentin Johnston (WR - LAC),7,$13,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,Jack Bech - LV,13,$2,,,,,,,,,,,,,,,,
Jordan Addison (WR - MIN),6,$13,,,,,,,,,,Brashard Smith - KC,5,$0,,,,De'Zhaun Stribling - SF,8,$1,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$13,,,,,,,,,,Sean Tucker - TB,10,$0,,,,Hollywood Brown - PHI,10,$1,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),7,$12,,,,,,,,,,Trevor Etienne - CAR,5,$0,,,,Ryan Flournoy - DAL,14,$1,,,,,,,,,,,,,,,,
Xavier Worthy (WR - KC),5,$12,,,,,,,,,,Phil Mafah - DAL,14,$0,,,,Jalen Tolbert - MIA,6,$1,,,,,,,,,,,,,,,,
Ricky Pearsall (WR - SF),8,$12,,,,,,,,,,Will Shipley - PHI,10,$0,,,,Tre' Harris - LAC,7,$1,,,,,,,,,,,,,,,,
Romeo Doubs (WR - NE),11,$12,,,,,,,,,,Devin Singletary - NYG,8,$0,,,,Andrei Iosivas - CIN,6,$1,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$12,,,,,,,,,,Jeremy McNichols - WAS,7,$0,,,,Chris Bell - MIA,6,$1,,,,,,,,,,,,,,,,
Blake Corum (RB - LAR),11,$11,,,,,,,,,,Jam Miller - NE,11,$0,,,,Caleb Douglas - MIA,6,$1,,,,,,,,,,,,,,,,
Tyjae Spears (RB - TEN),9,$11,,,,,,,,,,Elijah Mitchell - PHI,10,$0,,,,Isaac TeSlaa - DET,6,$1,,,,,,,,,,,,,,,,
Jordan Mason (RB - MIN),6,$11,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$1,,,,,,,,,,,,,,,,
Jonathon Brooks (RB - CAR),5,$11,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$1,,,,,,,,,,,,,,,,
John Metchie III (WR - CAR),5,$11,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,
Makai Lemon (WR - PHI),10,$11,,,,,,,,,,,,,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,
