"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","350","Joe Mixon","15.0","15.0","RB","UNS","18","18.06","40.9","19.0","68.2","153.5","86.5","0.0","$1","$1"
"","351","Kaelon Black","15.0","15.0","RB","SF","8","397.11","45.2","55.0","50.2","185.7","86.3","0.0","$1","$1"
"","352","Michael Mayer","15.0","9.0","TE","LVR","13","28.02","67.9","65.0","77.2","154.4","96.6","0.0","$1","$1"
"","353","Demarcus Robinson","15.0","15.0","WR","SF","8","310.06","38.4","36.0","45.2","131.1","67.4","0.0","$1","$1"
"","354","Brashard Smith","15.0","15.0","RB","KC","5","20.05","53.5","31.0","65.3","143.7","84.5","0.0","$1","$1"
"","355","Kareem Hunt","15.0","15.0","RB","UNS","18","281.09","46.8","20.0","66.9","143.8","84.2","0.0","$1","$1"
"","356","Darren Waller","15.0","9.0","TE","UNS","18","335.06","49.9","60.0","83.1","149.6","95.2","0.0","$4","$1"
"","357","Reggie Virgil","15.0","15.0","WR","ARI","14","403.09","32.5","9.0","37.8","143.6","65.7","0.0","$1","$1"
"","358","Demario Douglas","15.0","15.0","WR","NE","11","27.02","41.8","46.0","44.0","123.2","65.2","0.0","$1","$1"
"","359","Kendre Miller","15.0","15.0","RB","NO","8","20.03","40.2","31.0","50.2","175.7","82.6","0.0","$1","$1"
"","360","Ollie Gordon II","15.0","15.0","RB","MIA","6","448.06","44.7","36.0","47.0","178.6","82.5","0.0","$1","$1"
"","361","Dont'e Thornton Jr.","15.0","15.0","WR","LVR","13","447.02","32.5","27.0","36.1","144.4","65.0","0.0","$1","$1"
"","362","Demond Claiborne","15.0","15.0","RB","MIN","6","19.08","40.1","21.0","47.2","179.4","82.0","0.0","$1","$1"
"","363","Van Jefferson","15.0","15.0","WR","WAS","7","138.08","37.3","43.0","41.4","128.3","64.4","0.0","$1","$1"
"","364","Colbie Young","15.0","15.0","WR","CIN","6","395.04","30.4","13.0","35.8","143.2","64.1","0.0","$1","$1"
"","365","Austin Ekeler","15.0","15.0","RB","UNS","18","252.11","44.7","24.0","59.6","149.0","81.3","0.0","$6","$1"
"","366","Cyrus Allen","15.0","15.0","WR","KC","5","397.12","28.1","22.0","33.1","149.0","63.8","0.0","$1","$1"
"","367","LeQuint Allen","15.0","15.0","RB","JAC","7","446.11","58.2","34.0","63.3","126.6","79.6","0.0","$1","$1"
"","368","Jordan Watkins","15.0","15.0","WR","SF","8","445.10","27.5","8.0","30.5","146.4","61.6","0.0","$1","$1"
"","369","Antonio Gibson","15.0","15.0","RB","UNS","18","134.04","42.4","8.0","65.2","130.4","78.8","0.0","$1","$1"
"","370","Eric McAlister","15.0","15.0","WR","RK","18","400.03","26.6","19.0","29.5","147.5","61.2","0.0","$1","$1"
"","371","Marquez Valdes-Scantling","15.0","15.0","WR","DAL","14","234.01","28.3","18.0","37.7","128.2","60.7","0.0","$1","$1"
"","372","Zane Gonzalez","15.0","4.0","K","MIA","6","275.10","126.1","103.0","127.4","152.9","134.1","0.0","$1","$1"
"","373","JuJu Smith-Schuster","15.0","15.0","WR","NYG","8","283.06","26.7","15.0","35.6","129.9","59.7","0.0","$1","$1"
"","374","Eli Stowers","15.0","9.0","TE","PHI","10","14.09","54.7","47.0","66.7","165.4","91.4","0.0","$1","$1"
"","375","Devontez Walker","15.0","15.0","WR","BAL","13","494.02","28.2","31.0","32.1","134.8","59.4","0.0","$1","$1"
"","376","Malik Davis","15.0","15.0","RB","DAL","14","37.03","41.5","52.0","46.1","161.4","76.7","0.0","$1","$1"
"","377","Kevin Coleman Jr.","15.0","15.0","WR","MIA","6","401.01","28.7","40.0","31.9","134.0","59.2","0.0","$1","$1"
"","378","John Metchie","15.0","15.0","WR","CAR","5","68.10","35.2","67.0","36.3","119.8","58.9","0.0","$1","$1"
"","379","Devin Singletary","15.0","15.0","RB","NYG","8","177.03","44.9","30.0","49.9","149.7","76.2","0.0","$1","$1"
"","380","Tai Felton","15.0","15.0","WR","MIN","6","448.05","36.3","19.0","38.2","114.6","58.7","0.0","$1","$1"
"","381","KeAndre Lambert-Smith","15.0","15.0","WR","LAC","7","444.12","29.2","30.0","32.4","129.6","58.3","0.0","$1","$1"
"","382","Odell Beckham Jr.","15.0","15.0","WR","NYG","8","345.11","25.0","16.0","31.2","134.2","58.2","0.0","$1","$1"
"","383","Arian Smith","15.0","15.0","WR","NYJ","13","447.04","25.0","8.0","27.8","139.0","57.6","0.0","$1","$1"
"","384","Greg Dortch","15.0","15.0","WR","DET","6","185.11","39.4","23.0","42.4","99.6","57.5","0.0","$1","$1"
"","385","Mitchell Tinsley","15.0","15.0","WR","CIN","6","529.07","24.8","31.0","27.6","138.0","57.2","0.0","$1","$1"
"","386","Adam Randall","15.0","15.0","RB","BAL","13","403.06","36.8","41.0","43.3","160.2","74.0","0.0","$1","$1"
"","387","Jonnu Smith","15.0","9.0","TE","UNS","18","280.01","51.3","49.0","73.3","146.6","89.3","0.0","$6","$1"
"","388","Jonathan Mingo","15.0","15.0","WR","DAL","14","537.08","27.9","11.0","32.1","122.0","55.9","0.0","$1","$1"
"","389","Elijah Arroyo","15.0","9.0","TE","SEA","11","447.11","58.7","48.0","63.8","159.5","89.0","0.0","$1","$1"
"","390","Kaleb Johnson","15.0","15.0","RB","PIT","9","19.07","35.1","16.0","39.9","163.6","72.8","0.0","$5","$1"
"","391","Konata Mumpfield","15.0","15.0","WR","LAR","11","442.10","25.2","35.0","26.5","132.5","55.2","0.0","$1","$1"
"","392","Alexander Mattison","15.0","15.0","RB","UNS","18","184.08","44.5","5.0","52.4","131.0","72.4","0.0","$1","$1"
"","393","Kimani Vidal","15.0","15.0","RB","LAC","7","16.11","50.6","49.0","55.0","121.0","72.2","0.0","$1","$1"
"","394","DJ Giddens","15.0","15.0","RB","IND","13","449.08","39.4","37.0","43.8","148.9","71.7","0.0","$1","$1"
"","395","Malik Benson","15.0","15.0","WR","LVR","13","401.08","25.8","11.0","30.4","121.6","54.4","0.0","$1","$1"
"","396","Theo Wease Jr.","15.0","15.0","WR","MIA","6","433.08","22.0","73.0","25.9","129.5","53.5","0.0","$1","$1"
"","397","Miles Sanders","15.0","15.0","RB","UNS","18","175.10","45.1","0.0","51.2","126.5","70.6","0.0","$1","$1"
"","398","Ja'Lynn Polk","15.0","15.0","WR","NO","8","494.06","23.9","5.0","29.9","119.6","53.3","0.0","$1","$1"
"","399","Jalin Hyatt","15.0","15.0","WR","NYG","8","27.05","21.3","5.0","23.7","130.4","52.4","0.0","$1","$1"
"","400","K.J. Osborn","15.0","15.0","WR","TEN","9","128.02","27.6","0.0","33.6","94.1","49.0","0.0","$1","$1"
"","401","CJ Daniels","15.0","15.0","WR","LAR","11","404.10","22.3","32.0","25.3","113.9","48.9","0.0","$1","$1"
"","402","Erick All","15.0","10.0","TE","CIN","6","495.10","53.7","36.0","63.9","147.0","84.7","0.0","$1","$1"
"","403","Jerome Ford","15.0","15.0","RB","WAS","7","68.12","34.6","24.0","41.7","133.4","65.4","0.0","$1","$1"
"","404","Ray Davis","15.0","15.0","RB","BUF","7","18.12","34.5","45.0","46.0","119.6","64.0","0.0","$1","$1"
"","405","Atlanta Falcons","15.0","4.0","DEF","ATL","11","25.06","71.8","68.0","71.8","71.8","71.8","0.0","$1","$1"
"","406","Jeremy McNichols","15.0","15.0","RB","WAS","7","276.07","39.2","21.0","43.6","119.9","63.6","0.0","$1","$1"
"","407","Malachi Corley","15.0","15.0","WR","CLE","11","494.07","19.6","13.0","21.8","113.4","46.4","0.0","$1","$1"
"","408","Jeff Caldwell","15.0","15.0","WR","KC","5","399.03","18.1","0.0","21.3","114.8","46.2","0.0","$1","$1"
"","409","Seth McGowan","15.0","15.0","RB","IND","13","397.02","29.8","27.0","35.1","140.4","62.9","0.0","$1","$1"
"","410","Xavier Restrepo","15.0","15.0","WR","TEN","9","447.12","18.6","9.0","20.7","113.9","45.7","0.0","$1","$1"
"","411","Josh Cameron","15.0","15.0","WR","JAC","7","399.01","20.8","21.0","23.6","106.2","45.6","0.0","$1","$1"
"","412","Kyle Juszczyk","15.0","15.0","RB","SF","8","376.07","44.7","40.0","49.7","99.4","62.4","0.0","$1","$1"
"","413","Deion Burks","15.0","15.0","WR","IND","13","401.05","18.6","40.0","22.7","107.8","45.2","0.0","$1","$1"
"","414","Jarquez Hunter","15.0","15.0","RB","LAR","11","21.09","26.5","17.0","31.2","146.6","61.8","0.0","$1","$1"
"","415","Cole Kmet","15.0","10.0","TE","CHI","10","139.12","57.5","61.0","60.5","142.2","82.2","0.0","$1","$1"
"","416","Dominic Lovett","15.0","15.0","WR","DET","6","441.12","18.0","0.0","21.2","108.1","44.3","0.0","$1","$1"
"","417","Dawson Knox","15.0","10.0","TE","BUF","7","189.02","57.9","63.0","60.9","140.1","82.0","0.0","$1","$1"
"","418","David Sills V","15.0","15.0","WR","TB","10","175.07","20.1","13.0","21.2","106.0","44.1","0.0","$1","$1"
"","419","Derius Davis","15.0","15.0","WR","LAC","7","537.01","28.4","10.0","29.9","77.7","42.7","0.0","$1","$1"
"","420","Tim Patrick","15.0","15.0","WR","NYJ","13","270.05","24.9","17.0","28.0","84.0","42.7","0.0","$1","$1"
"","421","Bub Means","15.0","15.0","WR","NO","8","492.05","19.8","37.0","20.8","99.8","42.2","0.0","$1","$1"
"","422","Casey Washington","15.0","15.0","WR","ATL","11","491.02","18.0","20.0","20.0","98.0","40.9","0.0","$1","$1"
"","423","Mecole Hardman","15.0","15.0","WR","BUF","7","188.07","15.8","5.0","19.8","99.0","40.7","0.0","$1","$1"
"","424","Isaiah Williams","15.0","15.0","WR","NYJ","13","494.11","24.1","19.0","25.4","81.3","40.4","0.0","$1","$1"
"","425","Phil Mafah","15.0","15.0","RB","DAL","14","441.07","29.2","30.0","31.7","126.8","57.2","0.0","$1","$1"
"","426","Eli Heidenreich","15.0","15.0","WR","PIT","9","397.03","31.6","15.0","37.2","111.6","56.5","0.0","$1","$1"
"","427","Mason Taylor","15.0","10.0","TE","NYJ","13","14.07","55.5","73.0","57.8","137.0","79.0","0.0","$1","$1"
"","428","Emmanuel Henderson Jr.","15.0","15.0","WR","SEA","11","402.10","16.2","6.0","19.0","95.0","39.2","0.0","$1","$1"
"","429","Jacob Cowing","15.0","15.0","WR","SF","8","494.08","24.5","5.0","25.8","74.8","38.9","0.0","$1","$1"
"","430","Quez Watkins","15.0","15.0","WR","PHI","10","135.02","15.8","0.0","18.6","93.0","38.4","0.0","$1","$1"
"","431","Emari Demercado","15.0","15.0","RB","KC","5","520.07","32.0","53.0","37.6","105.3","55.1","0.0","$1","$1"
"","432","Ja'Tavion Sanders","15.0","10.0","TE","CAR","5","495.04","53.6","49.0","57.0","136.8","78.2","0.0","$4","$1"
"","433","Trevor Etienne","15.0","15.0","RB","CAR","5","447.08","35.7","24.0","39.7","95.3","54.1","0.0","$1","$1"
"","434","Barion Brown","15.0","15.0","WR","NO","8","393.03","21.5","21.0","23.9","74.1","37.2","0.0","$1","$1"
