"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","169","Sean Tucker","13.0","13.0","RB","TB","10","69.11","68.5","55.0","74.5","212.3","111.0","10.1","$6","$6"
"","170","Tre Tucker","13.0","8.0","WR","LVR","13","14.14","133.6","133.0","155.4","250.2","177.3","9.9","$12","$6"
"","171","Jaydon Blue","13.0","13.0","RB","DAL","14","68.11","62.3","44.0","73.3","216.2","110.3","9.9","$6","$6"
"","172","George Holani","13.0","13.0","RB","SEA","11","70.01","65.7","42.0","82.1","192.9","109.3","9.7","$6","$6"
"","173","Jacoby Brissett","13.0","4.0","QB","ARI","14","73.06","234.1","245.0","246.4","381.9","281.1","9.6","$3","$5"
"","174","Isaiah Davis","13.0","13.0","RB","NYJ","13","69.01","75.4","51.0","79.4","186.6","107.9","9.4","$5","$5"
"","175","Jalen Coker","13.0","8.0","WR","CAR","5","11.14","135.9","156.0","151.0","252.2","175.9","9.4","$5","$5"
"","176","Christopher 'Chris' Brooks","13.0","13.0","RB","GB","11","21.08","60.3","61.0","67.0","217.8","106.9","9.2","$5","$5"
"","177","Samaje Perine","14.0","14.0","RB","CIN","6","72.09","77.9","92.0","91.6","155.7","106.6","9.2","$5","$5"
"Injured","178","Trey Benson","14.0","14.0","RB","ARI","14","66.09","65.4","14.0","76.0","193.8","106.2","9.1","$5","$5"
"","179","Ty Johnson","14.0","14.0","RB","BUF","7","70.02","74.7","83.0","87.9","162.6","105.9","9.0","$5","$5"
"","180","Nick Chubb","14.0","14.0","RB","UNS","18","35.13","57.8","24.0","82.6","181.7","105.1","8.9","$5","$5"
"","181","Keenan Allen","14.0","8.0","WR","UNS","18","67.06","112.9","95.0","159.0","246.5","174.5","8.8","$5","$5"
"","182","Fernando Mendoza","14.0","4.0","QB","LVR","13","13.08","232.7","243.0","237.4","391.7","278.6","8.8","$3","$5"
"","183","Adonai Mitchell","14.0","8.0","WR","NYJ","13","71.04","128.4","107.0","139.6","272.2","173.7","8.5","$5","$5"
"","184","T.J. Hockenson","14.0","6.0","TE","MIN","6","11.06","139.0","145.0","152.8","197.1","162.4","8.4","$5","$5"
"Injured","185","Tyreek Hill","14.0","8.0","WR","UNS","18","14.02","82.4","132.0","149.8","281.6","173.5","8.4","$5","$5"
"Injured","186","Najee Harris","14.0","14.0","RB","UNS","18","39.07","52.5","37.0","80.7","177.5","102.0","8.3","$5","$5"
"","187","Dalton Schultz","14.0","6.0","TE","HOU","8","14.12","143.2","144.0","154.0","191.0","162.1","8.2","$5","$5"
"","188","Deshaun Watson","14.0","4.0","QB","CLE","11","69.07","207.8","174.0","218.7","437.4","276.4","8.1","$5","$5"
"","189","Geno Smith","14.0","4.0","QB","NYJ","13","73.13","228.1","240.0","237.6","384.9","276.1","8.0","$5","$5"
"","190","Brashard Smith","14.0","14.0","RB","KC","5","65.04","63.1","39.0","77.0","169.4","99.7","7.8","$4","$4"
"","191","Emanuel Wilson","14.0","14.0","RB","SEA","11","71.01","53.8","52.0","67.2","194.9","99.6","7.8","$4","$4"
"","192","Jerry Jeudy","14.0","9.0","WR","CLE","11","13.11","123.8","134.0","143.9","259.0","171.6","7.6","$4","$4"
"","193","Jauan Jennings","14.0","9.0","WR","MIN","6","15.05","122.1","136.0","138.7","270.5","171.6","7.6","$4","$4"
"","194","Jordan James","14.0","14.0","RB","SF","8","69.12","52.9","69.0","58.8","205.8","97.8","7.4","$4","$4"
"","195","Chigoziem 'Chig' Okonkwo","14.0","6.0","TE","WAS","7","14.13","138.7","137.0","144.5","206.6","160.4","7.4","$4","$4"
"","196","Joe Mixon","14.0","14.0","RB","UNS","18","45.03","45.9","21.0","76.5","172.1","97.0","7.3","$4","$4"
"","197","Tank Bigsby","15.0","15.0","RB","PHI","10","14.05","53.0","71.0","55.8","206.5","96.4","7.1","$4","$4"
"","198","Brandon Aiyuk","14.0","9.0","WR","UNS","18","68.13","86.2","62.0","143.7","280.2","170.5","7.1","$4","$4"
"","199","Germie Bernard","15.0","9.0","WR","PIT","9","17.06","124.6","113.0","141.6","257.7","170.2","7.0","$4","$4"
"","200","LeQuint Allen","15.0","15.0","RB","JAC","7","69.09","69.7","44.0","75.8","151.6","95.4","6.9","$4","$4"
"","201","Austin Ekeler","15.0","15.0","RB","UNS","18","41.06","52.1","29.0","69.5","173.8","94.8","6.8","$24","$4"
"","202","Oronde Gadsden II","15.0","6.0","TE","LAC","7","14.09","132.9","132.0","138.4","218.7","159.3","6.8","$4","$4"
