Salary Cap Values #12
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Chase Brown (RB - CIN),6,$22,,,,,,,,,,Tyjae Spears - TEN,9,$3,,,,Chris Godwin Jr. - TB,10,$4,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$22,,,,,,,,,,Zach Charbonnet - SEA,11,$3,,,,Jordan Addison - MIN,6,$4,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown (WR - NE),11,$22,,,,,,,,,,Woody Marks - HOU,8,$3,,,,Jordyn Tyson - NO,8,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs (RB - GB),11,$21,,,,,,,,,,Alvin Kamara - NO,8,$2,,,,Michael Wilson - ARI,14,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pickens (WR - DAL),14,$21,,,,,,,,,,Isiah Pacheco - DET,6,$2,,,,Xavier Worthy - KC,5,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave (WR - NO),8,$21,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$2,,,,Khalil Shakir - BUF,7,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Jones (QB - IND),13,$20,,,,,,,,,,Justice Hill - BAL,13,$2,,,,Romeo Doubs - NE,11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young (QB - CAR),5,$20,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$1,,,,Ricky Pearsall - SF,8,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$20,,,,,,,,,,Dylan Sampson - CLE,11,$1,,,,Josh Downs - IND,13,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins (WR - HOU),8,$20,,,,,,,,,,Brian Robinson Jr. - ATL,11,$1,,,,Makai Lemon - PHI,10,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall (RB - NYJ),13,$19,,,,,,,,,,Samaje Perine - CIN,6,$1,,,,Rashid Shaheed - SEA,11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$19,,,,,,,,,,Tyler Allgeier - ARI,14,$1,,,,John Metchie III - CAR,5,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$19,,,,,,,,,,AJ Dillon - CAR,5,$1,,,,Matthew Golden - GB,11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers (WR - BAL),13,$19,,,,,,,,,,Jordan James - SF,8,$1,,,,Calvin Ridley - TEN,9,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams (RB - LAR),11,$18,,,,,,,,,,Braelon Allen - NYJ,13,$0,,,,Jalen Coker - CAR,5,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geno Smith (QB - NYJ),13,$17,,,,,,,,,,Ty Johnson - BUF,7,$0,,,,Theo Wease Jr. - MIA,6,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacoby Brissett (QB - ARI),14,$17,,,,,,,,,,Emari Demercado - KC,5,$0,,,,Jerry Jeudy - CLE,11,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Ward (QB - TEN),9,$17,,,,,,,,,,Kaelon Black - SF,8,$0,,,,KC Concepcion - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$17,,,,,,,,,,Mike Washington Jr. - LV,13,$0,,,,Tre Tucker - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$17,,,,,,,,,,Tank Bigsby - PHI,10,$0,,,,Rashod Bateman - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams (RB - DAL),14,$16,,,,,,,,,,Keaton Mitchell - LAC,7,$0,,,,Jayden Higgins - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$16,,,,,,,,,,Malik Davis - DAL,14,$0,,,,Jalen McMillan - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$16,,,,,,,,,,Adam Randall - BAL,13,$0,,,,Jauan Jennings - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$16,,,,,,,,,,Chris Brooks - GB,11,$0,,,,Jalen Nailor - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers (QB - PIT),9,$15,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Antonio Williams - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
