Rank,Player,Team,Position,Sources,Justin Boone (Sun 12:57 PM),Patrick Thorman (Sun 12:34 PM),Jeff Ratcliffe (Sun 12:59 PM),Sean Koerner (Sun 12:40 PM)
57,Brevyn Spann-Ford,DAL,TE,4,63,55,51,61
58,Durham Smythe,BAL,TE,4,56,58,56,68
59,Ian Thomas,LV,TE,4,64,56,55,65
60,Matt Hibner,BAL,TE,4,54,74,71,48
61,Mo Alie-Cox,IND,TE,4,70,62,61,55
62,Nate Boerkircher,JAC,TE,4,57,69,67,59
63,Johnny Mundt,PHI,TE,4,71,60,62,60
64,Foster Moreau,HOU,TE,4,66,67,66,58
65,Marlin Klein,HOU,TE,4,55,72,69,69
66,Ben Sinnott,WAS,TE,4,59,70,68,67
67,Brock Wright,DET,TE,3,60,71,-80,56
68,Jackson Hawes,BUF,TE,4,69,66,65,66
69,John Bates,WAS,TE,4,77,64,63,63
70,Will Kacmarek,MIA,TE,3,65,63,-81,70
71,Josh Whyle,GB,TE,4,74,65,64,72
72,Cade Stover,HOU,TE,4,86,61,60,83
73,Blake Whiteheart,CLE,TE,3,67,68,-82,84
74,Luke Schoonmaker,DAL,TE,4,82,73,70,71
75,Davis Allen,LAR,TE,4,73,75,74,79
76,Charlie Woerner,ATL,TE,4,68,78,73,92
77,Luke Farrell,SF,TE,4,75,80,77,81
78,Hunter Long,ARI,TE,4,79,82,76,74
79,Drew Ogletree,IND,TE,4,85,76,72,80
80,Nate Adkins,DEN,TE,3,80,77,-84,75
81,Payne Durham,TB,TE,4,78,86,79,73
82,Jeremy Ruckert,NYJ,TE,4,84,81,75,78
83,Sam Roush,CHI,TE,4,72,85,78,90
84,Robert Tonyan,PIT,TE,2,76,-87,-83,96
85,E.J. Jenkins,PHI,TE,3,94,83,-94,77
86,Connor Heyward,LV,TE,3,93,79,-93,86
87,Eric Saubert,SEA,TE,2,83,-89,-86,97
88,Carsen Ryan,CLE,TE,2,81,-88,-85,110
89,Kylen Granson,TEN,TE,2,89,-92,-89,88
90,Quintin Morris,JAC,TE,3,98,84,-98,82
91,Tyler Conklin,DET,TE,2,88,-91,-88,98
92,Jared Wiley,KC,TE,2,87,-90,-87,104
93,Tanner Arkin,NE,TE,2,90,-93,-90,107
94,Cameron Latu,NE,TE,2,91,-94,-91,103
95,Seydou Traore,MIA,TE,2,92,-95,-92,99
96,David Martin-Robinson,TEN,TE,2,95,-96,-95,93
97,Riley Nowakowski,PIT,TE,2,100,-100,-100,76
98,Ko Kieft,TB,TE,2,96,-97,-96,91
99,Justin Joly,MIA,TE,2,102,-102,-102,89
100,Tanner Hudson,CIN,TE,1,-103,-103,-103,85
101,Chris Manhertz,NYG,TE,2,97,-98,-97,113
102,Jake Briningstool,KC,TE,1,-104,-104,-104,87
103,Thomas Fidone,NYG,TE,2,99,-99,-99,108
104,Nick Muse,ATL,TE,2,101,-101,-101,106
105,Bauer Sharp,TB,TE,1,-105,-105,-105,94
106,Gavin Bartholomew,MIN,TE,1,-106,-106,-106,95
107,Josh Cuevas,BAL,TE,1,-107,-107,-107,100
108,Dallen Bentley,DEN,TE,1,-108,-108,-108,101
109,Jelani Woods,NYJ,TE,1,-109,-109,-109,102
110,Carter Runyon,LV,TE,1,-110,-110,-110,105
111,Feleipe Franks,CAR,TE,1,-111,-111,-111,109
112,Colson Yankoff,WAS,TE,1,-112,-112,-112,111
113,Treyton Welch,NO,TE,1,-113,-113,-113,112
114,Keleki Latu,BUF,TE,1,-114,-114,-114,114
115,Mark Redman,GB,TE,1,-115,-115,-115,115
