Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"A.J. Brown",NE,"WR",18218,,"Tyler Shough",NO,"QB",23096,,"Travis Etienne Jr.",NO,"RB",19231,,"Tetairoa McMillan",CAR,"WR",25417,,"Brenton Strange",JAC,"TE",25345,,"Cleveland Browns",CLE,"DST",8070,,"Trevor Lawrence",JAC,"QB",19780,,"Wil Lutz",DEN,"K",16026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Cook III",BUF,"RB",22958,,"Jared Goff",DET,"QB",15501,,"Cam Skattebo",NYG,"RB",27166,,"Zay Flowers",BAL,"WR",22916,,"Juwan Johnson",NO,"TE",19562,,"Dallas Cowboys",DAL,"DST",8080,,"Dak Prescott",DAL,"QB",15600,,"Charlie Smyth",NO,"K",26444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saquon Barkley",PHI,"RB",17240,,"Baker Mayfield",TB,"QB",17237,,"Kyren Williams",LAR,"RB",23059,,"Ladd McConkey",LAC,"WR",26122,,"Oronde Gadsden II",LAC,"TE",25997,,"Indianapolis Colts",IND,"DST",8130,,"Brock Purdy",SF,"QB",19797,,"Tyler Bass",BUF,"K",19760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omarion Hampton",LAC,"RB",25395,,"Jordan Love",GB,"QB",19246,,"Bucky Irving",TB,"RB",25981,,"Luther Burden III",CHI,"WR",27016,,"Chig Okonkwo",WAS,"TE",23982,,"Tampa Bay Buccaneers",TB,"DST",8290,,"Christian McCaffrey",SF,"RB",16393,,"Jake Elliott",PHI,"K",16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock Bowers",LV,"TE",22955,,"Malik Willis",MIA,"QB",23499,,"D'Andre Swift",CHI,"RB",19210,,"Jaylen Waddle",DEN,"WR",19790,,"Kenyon Sadiq",NYJ,"TE",26055,,"New York Giants",NYG,"DST",8200,,"Drake London",ATL,"WR",23163,,"Jake Moody",WAS,"K",24009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rashee Rice",KC,"WR",23113,,"C.J. Stroud",HOU,"QB",23071,,"Quinshon Judkins",CLE,"RB",25391,,"Davante Adams",LAR,"WR",12123,,"Dalton Schultz",HOU,"TE",17349,,"New Orleans Saints",NO,"DST",8190,,"Justin Jefferson",MIN,"WR",19236,,"Nick Folk",ATL,"K",9491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenneth Walker III",KC,"RB",23021,,"Sam Darnold",SEA,"QB",17236,,"TreVeyon Henderson",NE,"RB",23065,,"Terry McLaurin",WAS,"WR",18466,,"T.J. Hockenson",MIN,"TE",18290,,"Chicago Bears",CHI,"DST",8050,,"Jonathan Taylor",IND,"RB",19217,,"Jason Sanders",NYG,"K",17533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"George Pickens",DAL,"WR",22963,,"Daniel Jones",IND,"QB",18232,,"David Montgomery",HOU,"RB",18239,,"Emeka Egbuka",TB,"WR",23062,,"AJ Barner",SEA,"TE",26335,,"Atlanta Falcons",ATL,"DST",8010,,"Ashton Jeanty",LV,"RB",25989,,"Ryan Fitzgerald",CAR,"K",27261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malik Nabers",NYG,"WR",25409,,"Cam Ward",TEN,"QB",24755,,"Bhayshul Tuten",JAC,"RB",27297,,"Christian Watson",GB,"WR",23886,,"Gunnar Helm",TEN,"TE",27109,,"Miami Dolphins",MIA,"DST",8160,,"De'Von Achane",MIA,"RB",23136,,"Trey Smack",GB,"K",28507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeVonta Smith",PHI,"WR",19222,,"Bryce Young",CAR,"QB",22900,,"Chuba Hubbard",CAR,"RB",19792,,"Mike Evans",SF,"WR",12119,,"Pat Freiermuth",PIT,"TE",20163,,"Washington Commanders",WAS,"DST",8310,,"Bo Nix",DEN,"QB",22910,,"Joey Slye",TEN,"K",19028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Olave",NO,"WR",20111,,"Jacoby Brissett",ARI,"QB",15642,,"Jaylen Warren",PIT,"RB",24209,,"Jameson Williams",DET,"WR",23677,,"Cade Otton",TB,"TE",23181,,"Cincinnati Bengals",CIN,"DST",8060,,"Nico Collins",HOU,"WR",20130,,"Zane Gonzalez",MIA,"K",16548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeremiyah Love",ARI,"RB",25403,,"Geno Smith",NYJ,"QB",11687,,"Jadarian Price",SEA,"RB",27329,,"Rome Odunze",CHI,"WR",25411,,"David Njoku",LAC,"TE",16399,,"Tennessee Titans",TEN,"DST",8300,,"Chase Brown",CIN,"RB",25324,,"Chad Ryland",ARI,"K",25354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tee Higgins",CIN,"WR",19211,,"Fernando Mendoza",LV,"QB",28013,,"Rhamondre Stevenson",NE,"RB",22726,,"DJ Moore",BUF,"WR",17265,,"Greg Dulcich",MIA,"TE",23153,,"Arizona Cardinals",ARI,"DST",8000,,"Patrick Mahomes II",KC,"QB",16413,,"Brandon McManus",FA,"K",13274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garrett Wilson",NYJ,"WR",23072,,"Aaron Rodgers",PIT,"QB",9001,,"Tony Pollard",TEN,"RB",18705,,"Carnell Tate",TEN,"WR",26009,,"Terrance Ferguson",LAR,"TE",23091,,"Carolina Panthers",CAR,"DST",8040,,"Kyler Murray",MIN,"QB",18600,,"Blake Grupe",IND,"K",25533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Jacobs",GB,"RB",18269,,"Deshaun Watson",CLE,"QB",16398,,"Rico Dowdle",PIT,"RB",19647,,"Jordyn Tyson",NO,"WR",26035,,"Mike Gesicki",CIN,"TE",17272,,"Las Vegas Raiders",LV,"DST",8220,,"Trey McBride",ARI,"TE",22936,,"Daniel Carlson",LV,"K",17420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breece Hall",NYJ,"RB",22982,,"Michael Penix Jr.",ATL,"QB",22973,,"RJ Harvey",DEN,"RB",27142,,"Alec Pierce",IND,"WR",23791,,"Evan Engram",DEN,"TE",16411,,"New York Jets",NYJ,"DST",8210,,"Matthew Stafford",LAR,"QB",9451,,"Ben Sauls",NYG,"K",27798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tetairoa McMillan",CAR,"WR",25417,,"Tua Tagovailoa",ATL,"QB",19198,,"J.K. Dobbins",DEN,"RB",19245,,"Marvin Harrison Jr.",ARI,"WR",23064,,"Eli Stowers",PHI,"TE",23144,,,,,,,"A.J. Brown",NE,"WR",18218,,"Matt Gay",LV,"K",18545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
