Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Ashton Jeanty",LV,"RB",25989,,"Tyler Shough",NO,"QB",23096,,"David Montgomery",HOU,"RB",18239,,"Tetairoa McMillan",CAR,"WR",25417,,"T.J. Hockenson",MIN,"TE",18290,,"Detroit Lions",DET,"DST",8100,,"Ashton Jeanty",LV,"RB",25989,,"Wil Lutz",DEN,"K",16026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De'Von Achane",MIA,"RB",23136,,"Daniel Jones",IND,"QB",18232,,"Quinshon Judkins",CLE,"RB",25391,,"Luther Burden III",CHI,"WR",27016,,"Terrance Ferguson",LAR,"TE",23091,,"New York Giants",NYG,"DST",8200,,"De'Von Achane",MIA,"RB",23136,,"Nick Folk",ATL,"K",9491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"George Pickens",DAL,"WR",22963,,"Sam Darnold",SEA,"QB",17236,,"Jadarian Price",SEA,"RB",27329,,"Davante Adams",LAR,"WR",12123,,"AJ Barner",SEA,"TE",26335,,"Tampa Bay Buccaneers",TB,"DST",8290,,"George Pickens",DAL,"WR",22963,,"Riley Patterson",MIA,"K",23370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Olave",NO,"WR",20111,,"C.J. Stroud",HOU,"QB",23071,,"Bhayshul Tuten",JAC,"RB",27297,,"Jameson Williams",DET,"WR",23677,,"Pat Freiermuth",PIT,"TE",20163,,"Tennessee Titans",TEN,"DST",8300,,"Chris Olave",NO,"WR",20111,,"Joey Slye",TEN,"K",19028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trey McBride",ARI,"TE",22936,,"Bryce Young",CAR,"QB",22900,,"Rhamondre Stevenson",NE,"RB",22726,,"Christian Watson",GB,"WR",23886,,"Cade Otton",TB,"TE",23181,,"Green Bay Packers",GB,"DST",8110,,"Trey McBride",ARI,"TE",22936,,"Spencer Shrader",IND,"K",26763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malik Nabers",NYG,"WR",25409,,"Cam Ward",TEN,"QB",24755,,"TreVeyon Henderson",NE,"RB",23065,,"Terry McLaurin",WAS,"WR",18466,,"Kenyon Sadiq",NYJ,"TE",26055,,"Miami Dolphins",MIA,"DST",8160,,"Malik Nabers",NYG,"WR",25409,,"Jake Elliott",PHI,"K",16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeVonta Smith",PHI,"WR",19222,,"Aaron Rodgers",PIT,"QB",9001,,"Jaylen Warren",PIT,"RB",24209,,"DJ Moore",BUF,"WR",17265,,"Greg Dulcich",MIA,"TE",23153,,"New York Jets",NYJ,"DST",8210,,"DeVonta Smith",PHI,"WR",19222,,"Chad Ryland",ARI,"K",25354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kyren Williams",LAR,"RB",23059,,"Jacoby Brissett",ARI,"QB",15642,,"Rico Dowdle",PIT,"RB",19647,,"Rome Odunze",CHI,"WR",25411,,"Gunnar Helm",TEN,"TE",27109,,"Atlanta Falcons",ATL,"DST",8010,,"Kyren Williams",LAR,"RB",23059,,"Tyler Bass",BUF,"K",19760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Javonte Williams",DAL,"RB",22739,,"Geno Smith",NYJ,"QB",11687,,"Jonathon Brooks",CAR,"RB",26148,,"Mike Evans",SF,"WR",12119,,"Colby Parkinson",LAR,"TE",19372,,"San Francisco 49ers",SF,"DST",8270,,"Javonte Williams",DAL,"RB",22739,,"Daniel Carlson",NO,"K",17420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rashee Rice",KC,"WR",23113,,"Fernando Mendoza",LV,"QB",28013,,"Tony Pollard",TEN,"RB",18705,,"Parker Washington",JAC,"WR",23106,,"David Njoku",LAC,"TE",16399,,"Washington Commanders",WAS,"DST",8310,,"Rashee Rice",KC,"WR",23113,,"Ryan Fitzgerald",CAR,"K",27261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zay Flowers",BAL,"WR",22916,,"Michael Penix Jr.",ATL,"QB",22973,,"MarShawn Lloyd",GB,"RB",23118,,"Marvin Harrison Jr.",ARI,"WR",23064,,"Evan Engram",DEN,"TE",16411,,"Las Vegas Raiders",LV,"DST",8220,,"Josh Allen",BUF,"QB",17298,,"Drew Stevens",WAS,"K",28175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
